layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.6933,0.0352,0.5,144
2,intent_noharm,0.7076,0.0247,0.5,144
3,intent_noharm,0.729,0.0337,0.5,144
4,intent_noharm,0.749,0.0557,0.5,144
5,intent_noharm,0.7562,0.0518,0.5,144
6,intent_noharm,0.8105,0.0618,0.5,144
7,intent_noharm,0.7971,0.0463,0.5,144
8,intent_noharm,0.7852,0.0583,0.5,144
9,intent_noharm,0.8057,0.0517,0.5,144
10,intent_noharm,0.841,0.0373,0.5,144
11,intent_noharm,0.8543,0.0574,0.5,144
12,intent_noharm,0.9162,0.0372,0.5,144
13,intent_noharm,0.9305,0.031,0.5,144
14,intent_noharm,0.9729,0.0251,0.5,144
15,intent_noharm,0.9448,0.0415,0.5,144
16,intent_noharm,0.9386,0.0573,0.5,144
17,intent_noharm,0.9448,0.0348,0.5,144
18,intent_noharm,0.9443,0.0413,0.5,144
19,intent_noharm,0.9162,0.0563,0.5,144
20,intent_noharm,0.9095,0.0472,0.5,144
21,intent_noharm,0.9162,0.0563,0.5,144
22,intent_noharm,0.9229,0.0518,0.5,144
23,intent_noharm,0.9229,0.0518,0.5,144
24,intent_noharm,0.9157,0.0576,0.5,144
25,intent_noharm,0.9014,0.0613,0.5,144
26,intent_noharm,0.9157,0.0479,0.5,144
27,intent_noharm,0.9157,0.0479,0.5,144
28,intent_noharm,0.9086,0.0531,0.5,144
29,intent_noharm,0.8948,0.0401,0.5,144
30,intent_noharm,0.8948,0.0401,0.5,144
31,intent_noharm,0.909,0.0367,0.5,144
32,intent_noharm,0.909,0.0367,0.5,144
0,intent_harm,0.5,0.0,0.5,154
1,intent_harm,0.5646,0.0339,0.5,154
2,intent_harm,0.5454,0.0263,0.5,154
3,intent_harm,0.5913,0.0379,0.5,154
4,intent_harm,0.5912,0.0774,0.5,154
5,intent_harm,0.5854,0.0496,0.5,154
6,intent_harm,0.5575,0.0414,0.5,154
7,intent_harm,0.5771,0.0307,0.5,154
8,intent_harm,0.5646,0.0285,0.5,154
9,intent_harm,0.5771,0.0428,0.5,154
10,intent_harm,0.5762,0.0575,0.5,154
11,intent_harm,0.6304,0.0566,0.5,154
12,intent_harm,0.5779,0.0337,0.5,154
13,intent_harm,0.6104,0.0321,0.5,154
14,intent_harm,0.6504,0.0475,0.5,154
15,intent_harm,0.6421,0.0511,0.5,154
16,intent_harm,0.6679,0.0479,0.5,154
17,intent_harm,0.6488,0.0423,0.5,154
18,intent_harm,0.6421,0.0358,0.5,154
19,intent_harm,0.6604,0.0624,0.5,154
20,intent_harm,0.6487,0.03,0.5,154
21,intent_harm,0.6683,0.0289,0.5,154
