layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.7281,0.046,0.5,144
2,intent_noharm,0.7267,0.0819,0.5,144
3,intent_noharm,0.7338,0.0789,0.5,144
4,intent_noharm,0.7352,0.0683,0.5,144
5,intent_noharm,0.7567,0.0802,0.5,144
6,intent_noharm,0.7771,0.0659,0.5,144
7,intent_noharm,0.7767,0.0567,0.5,144
8,intent_noharm,0.7705,0.079,0.5,144
9,intent_noharm,0.8048,0.0675,0.5,144
10,intent_noharm,0.8057,0.0547,0.5,144
11,intent_noharm,0.8052,0.042,0.5,144
12,intent_noharm,0.8757,0.0899,0.5,144
13,intent_noharm,0.8538,0.1069,0.5,144
14,intent_noharm,0.9514,0.0532,0.5,144
15,intent_noharm,0.929,0.0642,0.5,144
16,intent_noharm,0.9505,0.0536,0.5,144
17,intent_noharm,0.9867,0.0163,0.5,144
18,intent_noharm,0.9933,0.0133,0.5,144
19,intent_noharm,0.9724,0.0339,0.5,144
20,intent_noharm,0.9514,0.0361,0.5,144
21,intent_noharm,0.9652,0.0226,0.5,144
22,intent_noharm,0.9514,0.0361,0.5,144
23,intent_noharm,0.9438,0.0626,0.5,144
24,intent_noharm,0.9167,0.0468,0.5,144
25,intent_noharm,0.9238,0.0409,0.5,144
26,intent_noharm,0.931,0.0496,0.5,144
27,intent_noharm,0.9238,0.0256,0.5,144
28,intent_noharm,0.9529,0.0451,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.6162,0.0511,0.5,154
2,intent_harm,0.5908,0.0233,0.5,154
3,intent_harm,0.5575,0.0356,0.5,154
4,intent_harm,0.5575,0.0414,0.5,154
5,intent_harm,0.5708,0.0223,0.5,154
6,intent_harm,0.5517,0.0326,0.5,154
7,intent_harm,0.5508,0.0476,0.5,154
8,intent_harm,0.5583,0.0315,0.5,154
9,intent_harm,0.5392,0.0252,0.5,154
10,intent_harm,0.5396,0.039,0.5,154
11,intent_harm,0.5321,0.0198,0.5,154
12,intent_harm,0.5258,0.0236,0.5,154
13,intent_harm,0.5783,0.0276,0.5,154
14,intent_harm,0.5779,0.054,0.5,154
15,intent_harm,0.59,0.0488,0.5,154
16,intent_harm,0.5983,0.0704,0.5,154
17,intent_harm,0.6429,0.045,0.5,154
18,intent_harm,0.65,0.0891,0.5,154
19,intent_harm,0.6617,0.0785,0.5,154
20,intent_harm,0.6296,0.0333,0.5,154
21,intent_harm,0.6296,0.0181,0.5,154
22,intent_harm,0.6167,0.057,0.5,154
23,intent_harm,0.6104,0.0926,0.5,154
24,intent_harm,0.5642,0.0403,0.5,154
25,intent_harm,0.5713,0.0114,0.5,154
26,intent_harm,0.5904,0.022,0.5,154
27,intent_harm,0.5908,0.0379,0.5,154
28,intent_harm,0.5392,0.0138,0.5,154
0,outcome_innocent,0.6039,0.0337,0.5168,149
1,outcome_innocent,0.9057,0.0338,0.5168,149
2,outcome_innocent,0.9595,0.0254,0.5168,149
3,outcome_innocent,0.9867,0.0163,0.5168,149
4,outcome_innocent,0.9933,0.0133,0.5168,149
5,outcome_innocent,0.9733,0.0327,0.5168,149
6,outcome_innocent,0.9733,0.0249,0.5168,149
7,outcome_innocent,0.98,0.0267,0.5168,149
8,outcome_innocent,0.98,0.0267,0.5168,149
9,outcome_innocent,0.98,0.0267,0.5168,149
10,outcome_innocent,0.98,0.0267,0.5168,149
11,outcome_innocent,0.9867,0.0267,0.5168,149
12,outcome_innocent,0.9867,0.0267,0.5168,149
13,outcome_innocent,0.9867,0.0267,0.5168,149
14,outcome_innocent,0.9867,0.0267,0.5168,149
15,outcome_innocent,0.9867,0.0267,0.5168,149
16,outcome_innocent,0.9867,0.0267,0.5168,149
17,outcome_innocent,0.9933,0.0133,0.5168,149
18,outcome_innocent,0.9867,0.0267,0.5168,149
19,outcome_innocent,0.9867,0.0267,0.5168,149
20,outcome_innocent,0.9867,0.0267,0.5168,149
21,outcome_innocent,0.9867,0.0267,0.5168,149
22,outcome_innocent,0.9867,0.0267,0.5168,149
23,outcome_innocent,0.9867,0.0267,0.5168,149
24,outcome_innocent,0.9933,0.0133,0.5168,149
25,outcome_innocent,0.9867,0.0163,0.5168,149
26,outcome_innocent,0.9867,0.0163,0.5168,149
27,outcome_innocent,0.9867,0.0163,0.5168,149
28,outcome_innocent,0.9867,0.0163,0.5168,149
0,outcome_guilty,0.6039,0.0337,0.5168,149
