layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.7348,0.057,0.5,144
2,intent_noharm,0.7476,0.1045,0.5,144
3,intent_noharm,0.7067,0.0549,0.5,144
4,intent_noharm,0.7352,0.0543,0.5,144
5,intent_noharm,0.7562,0.0518,0.5,144
6,intent_noharm,0.7695,0.0881,0.5,144
7,intent_noharm,0.8062,0.0635,0.5,144
8,intent_noharm,0.7633,0.0596,0.5,144
9,intent_noharm,0.7981,0.0711,0.5,144
10,intent_noharm,0.7976,0.0529,0.5,144
11,intent_noharm,0.8048,0.0502,0.5,144
12,intent_noharm,0.8119,0.0589,0.5,144
13,intent_noharm,0.8667,0.0898,0.5,144
14,intent_noharm,0.8805,0.0981,0.5,144
15,intent_noharm,0.9076,0.0866,0.5,144
16,intent_noharm,0.9224,0.0698,0.5,144
17,intent_noharm,0.9657,0.0211,0.5,144
18,intent_noharm,0.9381,0.0401,0.5,144
19,intent_noharm,0.9371,0.0419,0.5,144
20,intent_noharm,0.8957,0.0599,0.5,144
21,intent_noharm,0.9033,0.0396,0.5,144
22,intent_noharm,0.8967,0.0714,0.5,144
23,intent_noharm,0.8962,0.0576,0.5,144
24,intent_noharm,0.8829,0.088,0.5,144
25,intent_noharm,0.9029,0.0632,0.5,144
26,intent_noharm,0.8967,0.0597,0.5,144
27,intent_noharm,0.9181,0.0488,0.5,144
28,intent_noharm,0.8971,0.0459,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.6038,0.0473,0.5,154
2,intent_harm,0.5587,0.0524,0.5,154
3,intent_harm,0.5521,0.0162,0.5,154
4,intent_harm,0.6029,0.0405,0.5,154
5,intent_harm,0.5775,0.0318,0.5,154
6,intent_harm,0.5387,0.0242,0.5,154
7,intent_harm,0.5446,0.0316,0.5,154
8,intent_harm,0.5767,0.0504,0.5,154
9,intent_harm,0.5587,0.0252,0.5,154
10,intent_harm,0.5267,0.0318,0.5,154
11,intent_harm,0.5329,0.0365,0.5,154
12,intent_harm,0.5258,0.013,0.5,154
13,intent_harm,0.5592,0.0395,0.5,154
14,intent_harm,0.5721,0.0334,0.5,154
15,intent_harm,0.585,0.062,0.5,154
16,intent_harm,0.5783,0.0347,0.5,154
17,intent_harm,0.6304,0.0723,0.5,154
18,intent_harm,0.6175,0.0572,0.5,154
19,intent_harm,0.67,0.0467,0.5,154
20,intent_harm,0.6642,0.0807,0.5,154
21,intent_harm,0.6108,0.0501,0.5,154
22,intent_harm,0.5846,0.0341,0.5,154
23,intent_harm,0.5971,0.056,0.5,154
24,intent_harm,0.5662,0.0474,0.5,154
25,intent_harm,0.5458,0.0261,0.5,154
26,intent_harm,0.5454,0.0321,0.5,154
27,intent_harm,0.545,0.0244,0.5,154
28,intent_harm,0.5258,0.0236,0.5,154
0,outcome_innocent,0.6039,0.0337,0.5168,149
1,outcome_innocent,0.892,0.0558,0.5168,149
2,outcome_innocent,0.9595,0.0254,0.5168,149
3,outcome_innocent,0.9867,0.0163,0.5168,149
4,outcome_innocent,0.9933,0.0133,0.5168,149
5,outcome_innocent,0.9733,0.0327,0.5168,149
6,outcome_innocent,0.98,0.0267,0.5168,149
7,outcome_innocent,0.9867,0.0267,0.5168,149
8,outcome_innocent,0.9733,0.0327,0.5168,149
9,outcome_innocent,0.9867,0.0267,0.5168,149
10,outcome_innocent,0.9867,0.0267,0.5168,149
11,outcome_innocent,0.9867,0.0267,0.5168,149
12,outcome_innocent,0.98,0.0267,0.5168,149
13,outcome_innocent,0.9867,0.0267,0.5168,149
14,outcome_innocent,0.9867,0.0267,0.5168,149
15,outcome_innocent,0.9867,0.0267,0.5168,149
16,outcome_innocent,0.9867,0.0267,0.5168,149
17,outcome_innocent,0.9933,0.0133,0.5168,149
18,outcome_innocent,0.9867,0.0267,0.5168,149
19,outcome_innocent,0.9867,0.0267,0.5168,149
20,outcome_innocent,0.9867,0.0267,0.5168,149
21,outcome_innocent,0.9867,0.0267,0.5168,149
22,outcome_innocent,0.9867,0.0267,0.5168,149
23,outcome_innocent,0.9867,0.0267,0.5168,149
24,outcome_innocent,0.9867,0.0267,0.5168,149
25,outcome_innocent,0.9933,0.0133,0.5168,149
26,outcome_innocent,0.9933,0.0133,0.5168,149
27,outcome_innocent,0.9933,0.0133,0.5168,149
28,outcome_innocent,0.98,0.0267,0.5168,149
0,outcome_guilty,0.6039,0.0337,0.5168,149
1,outcome_guilty,0.8924,0.026,0.5168,149
2,outcome_guilty,0.9593,0.0399,0.5168,149
3,outcome_guilty,0.98,0.0163,0.5168,149
4,outcome_guilty,0.9933,0.0133,0.5168,149
5,outcome_guilty,0.9867,0.0163,0.5168,149
6,outcome_guilty,0.9867,0.0163,0.5168,149
7,outcome_guilty,0.9867,0.0163,0.5168,149
8,outcome_guilty,0.9867,0.0163,0.5168,149
9,outcome_guilty,0.9933,0.0133,0.5168,149
10,outcome_guilty,0.9867,0.0163,0.5168,149
11,outcome_guilty,0.9933,0.0133,0.5168,149
12,outcome_guilty,0.9867,0.0163,0.5168,149
13,outcome_guilty,0.9933,0.0133,0.5168,149
14,outcome_guilty,1.0,0.0,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,0.9933,0.0133,0.5168,149
17,outcome_guilty,1.0,0.0,0.5168,149
18,outcome_guilty,0.9933,0.0133,0.5168,149
19,outcome_guilty,1.0,0.0,0.5168,149
20,outcome_guilty,1.0,0.0,0.5168,149
21,outcome_guilty,1.0,0.0,0.5168,149
22,outcome_guilty,1.0,0.0,0.5168,149
23,outcome_guilty,0.9933,0.0133,0.5168,149
24,outcome_guilty,0.9933,0.0133,0.5168,149
25,outcome_guilty,0.9933,0.0133,0.5168,149
26,outcome_guilty,0.9933,0.0133,0.5168,149
27,outcome_guilty,0.9933,0.0133,0.5168,149
28,outcome_guilty,0.9933,0.0133,0.5168,149
