layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.7838,0.045,0.5,144
1,intent_noharm,0.7495,0.0463,0.5,144
2,intent_noharm,0.7286,0.0426,0.5,144
3,intent_noharm,0.791,0.0513,0.5,144
4,intent_noharm,0.7829,0.0646,0.5,144
5,intent_noharm,0.7271,0.067,0.5,144
6,intent_noharm,0.769,0.0802,0.5,144
7,intent_noharm,0.7062,0.0825,0.5,144
8,intent_noharm,0.7914,0.0675,0.5,144
9,intent_noharm,0.79,0.0702,0.5,144
10,intent_noharm,0.7981,0.0488,0.5,144
11,intent_noharm,0.839,0.0878,0.5,144
12,intent_noharm,0.8748,0.029,0.5,144
13,intent_noharm,0.8467,0.0308,0.5,144
14,intent_noharm,0.839,0.0602,0.5,144
15,intent_noharm,0.8533,0.0596,0.5,144
16,intent_noharm,0.8324,0.0374,0.5,144
17,intent_noharm,0.8033,0.0801,0.5,144
18,intent_noharm,0.7557,0.0762,0.5,144
19,intent_noharm,0.7971,0.0843,0.5,144
20,intent_noharm,0.7419,0.0515,0.5,144
21,intent_noharm,0.7133,0.0739,0.5,144
22,intent_noharm,0.7286,0.0698,0.5,144
23,intent_noharm,0.7219,0.0737,0.5,144
24,intent_noharm,0.7424,0.039,0.5,144
0,intent_harm,0.74,0.0082,0.5,154
1,intent_harm,0.7604,0.0487,0.5,154
2,intent_harm,0.7475,0.0483,0.5,154
3,intent_harm,0.7667,0.035,0.5,154
4,intent_harm,0.8171,0.0482,0.5,154
5,intent_harm,0.7533,0.0379,0.5,154
6,intent_harm,0.7454,0.0739,0.5,154
7,intent_harm,0.7396,0.0571,0.5,154
8,intent_harm,0.7975,0.0476,0.5,154
9,intent_harm,0.8237,0.0466,0.5,154
10,intent_harm,0.8225,0.0742,0.5,154
11,intent_harm,0.7971,0.0764,0.5,154
12,intent_harm,0.8371,0.0383,0.5,154
13,intent_harm,0.7975,0.0476,0.5,154
14,intent_harm,0.8242,0.0282,0.5,154
15,intent_harm,0.7842,0.0684,0.5,154
16,intent_harm,0.7967,0.0743,0.5,154
17,intent_harm,0.7771,0.0774,0.5,154
18,intent_harm,0.7704,0.0905,0.5,154
19,intent_harm,0.7188,0.0679,0.5,154
20,intent_harm,0.7721,0.0493,0.5,154
21,intent_harm,0.7717,0.0504,0.5,154
22,intent_harm,0.7404,0.044,0.5,154
23,intent_harm,0.765,0.0568,0.5,154
24,intent_harm,0.7271,0.0326,0.5,154
0,outcome_innocent,0.8591,0.0325,0.5168,149
1,outcome_innocent,0.8655,0.0376,0.5168,149
2,outcome_innocent,0.8657,0.0212,0.5168,149
3,outcome_innocent,0.8991,0.1098,0.5168,149
4,outcome_innocent,0.9193,0.0272,0.5168,149
5,outcome_innocent,0.8991,0.0374,0.5168,149
6,outcome_innocent,0.8857,0.0175,0.5168,149
7,outcome_innocent,0.9057,0.0399,0.5168,149
8,outcome_innocent,0.9257,0.0455,0.5168,149
9,outcome_innocent,0.9324,0.0382,0.5168,149
10,outcome_innocent,0.9193,0.0404,0.5168,149
11,outcome_innocent,0.9731,0.025,0.5168,149
12,outcome_innocent,0.9664,0.0365,0.5168,149
13,outcome_innocent,0.9524,0.0515,0.5168,149
14,outcome_innocent,0.9595,0.033,0.5168,149
15,outcome_innocent,0.9262,0.0679,0.5168,149
16,outcome_innocent,0.9462,0.0454,0.5168,149
17,outcome_innocent,0.9257,0.0544,0.5168,149
18,outcome_innocent,0.9391,0.0546,0.5168,149
19,outcome_innocent,0.9457,0.0555,0.5168,149
20,outcome_innocent,0.9393,0.0335,0.5168,149
21,outcome_innocent,0.8855,0.0416,0.5168,149
22,outcome_innocent,0.852,0.0419,0.5168,149
23,outcome_innocent,0.8386,0.0655,0.5168,149
24,outcome_innocent,0.8386,0.0544,0.5168,149
0,outcome_guilty,0.8657,0.0212,0.5168,149
1,outcome_guilty,0.8926,0.0248,0.5168,149
2,outcome_guilty,0.8657,0.0212,0.5168,149
3,outcome_guilty,0.8724,0.0444,0.5168,149
4,outcome_guilty,0.906,0.0137,0.5168,149
5,outcome_guilty,0.8857,0.0503,0.5168,149
6,outcome_guilty,0.886,0.0264,0.5168,149
7,outcome_guilty,0.8857,0.0503,0.5168,149
8,outcome_guilty,0.9191,0.0355,0.5168,149
9,outcome_guilty,0.906,0.0252,0.5168,149
10,outcome_guilty,0.9464,0.0265,0.5168,149
11,outcome_guilty,0.9395,0.0328,0.5168,149
12,outcome_guilty,0.96,0.0389,0.5168,149
13,outcome_guilty,0.9324,0.0436,0.5168,149
14,outcome_guilty,0.9462,0.0269,0.5168,149
15,outcome_guilty,0.9255,0.0512,0.5168,149
16,outcome_guilty,0.9057,0.0264,0.5168,149
17,outcome_guilty,0.9324,0.0485,0.5168,149
18,outcome_guilty,0.9124,0.0283,0.5168,149
19,outcome_guilty,0.872,0.0465,0.5168,149
20,outcome_guilty,0.8989,0.0386,0.5168,149
21,outcome_guilty,0.8857,0.0405,0.5168,149
22,outcome_guilty,0.8384,0.0514,0.5168,149
23,outcome_guilty,0.8251,0.051,0.5168,149
24,outcome_guilty,0.8317,0.0448,0.5168,149
