layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.7695,0.0617,0.5,144
1,intent_noharm,0.7986,0.0545,0.5,144
2,intent_noharm,0.7781,0.0323,0.5,144
3,intent_noharm,0.7633,0.0529,0.5,144
4,intent_noharm,0.7495,0.0698,0.5,144
5,intent_noharm,0.8186,0.0307,0.5,144
6,intent_noharm,0.8133,0.0676,0.5,144
7,intent_noharm,0.84,0.0352,0.5,144
8,intent_noharm,0.8067,0.0549,0.5,144
9,intent_noharm,0.7848,0.0574,0.5,144
10,intent_noharm,0.7714,0.0679,0.5,144
11,intent_noharm,0.7776,0.059,0.5,144
12,intent_noharm,0.8186,0.0484,0.5,144
13,intent_noharm,0.8395,0.0476,0.5,144
14,intent_noharm,0.8738,0.0596,0.5,144
15,intent_noharm,0.8957,0.0446,0.5,144
16,intent_noharm,0.9243,0.039,0.5,144
17,intent_noharm,0.9381,0.0635,0.5,144
18,intent_noharm,0.9371,0.027,0.5,144
19,intent_noharm,0.9162,0.0191,0.5,144
20,intent_noharm,0.8881,0.043,0.5,144
21,intent_noharm,0.8733,0.0779,0.5,144
22,intent_noharm,0.8871,0.0585,0.5,144
23,intent_noharm,0.8395,0.0316,0.5,144
24,intent_noharm,0.8257,0.0344,0.5,144
25,intent_noharm,0.8262,0.0448,0.5,144
26,intent_noharm,0.8262,0.0314,0.5,144
27,intent_noharm,0.819,0.0274,0.5,144
28,intent_noharm,0.7833,0.0565,0.5,144
0,intent_harm,0.7596,0.034,0.5,154
1,intent_harm,0.7538,0.0496,0.5,154
2,intent_harm,0.7404,0.034,0.5,154
3,intent_harm,0.7463,0.0281,0.5,154
4,intent_harm,0.805,0.042,0.5,154
5,intent_harm,0.7983,0.0478,0.5,154
6,intent_harm,0.785,0.0517,0.5,154
7,intent_harm,0.7846,0.049,0.5,154
8,intent_harm,0.7854,0.0615,0.5,154
9,intent_harm,0.7783,0.0581,0.5,154
10,intent_harm,0.8037,0.051,0.5,154
11,intent_harm,0.7979,0.0502,0.5,154
12,intent_harm,0.8692,0.0442,0.5,154
13,intent_harm,0.8825,0.0623,0.5,154
14,intent_harm,0.8562,0.0365,0.5,154
15,intent_harm,0.8958,0.0333,0.5,154
16,intent_harm,0.9217,0.0399,0.5,154
17,intent_harm,0.9283,0.0385,0.5,154
18,intent_harm,0.9408,0.0395,0.5,154
19,intent_harm,0.9217,0.0276,0.5,154
20,intent_harm,0.9221,0.0157,0.5,154
21,intent_harm,0.8958,0.0148,0.5,154
22,intent_harm,0.8571,0.0158,0.5,154
23,intent_harm,0.8829,0.0169,0.5,154
24,intent_harm,0.8558,0.0523,0.5,154
25,intent_harm,0.8429,0.047,0.5,154
26,intent_harm,0.8367,0.0491,0.5,154
27,intent_harm,0.8433,0.0458,0.5,154
28,intent_harm,0.7908,0.0539,0.5,154
0,outcome_innocent,0.8993,0.0422,0.5168,149
1,outcome_innocent,0.8791,0.0344,0.5168,149
2,outcome_innocent,0.8722,0.0401,0.5168,149
3,outcome_innocent,0.8924,0.0335,0.5168,149
4,outcome_innocent,0.9193,0.0272,0.5168,149
5,outcome_innocent,0.9393,0.0496,0.5168,149
6,outcome_innocent,0.9393,0.0396,0.5168,149
7,outcome_innocent,0.9526,0.0351,0.5168,149
8,outcome_innocent,0.9526,0.0351,0.5168,149
9,outcome_innocent,0.9457,0.0469,0.5168,149
10,outcome_innocent,0.9324,0.0485,0.5168,149
11,outcome_innocent,0.9462,0.0342,0.5168,149
12,outcome_innocent,0.9595,0.033,0.5168,149
13,outcome_innocent,0.9731,0.025,0.5168,149
14,outcome_innocent,0.9664,0.0211,0.5168,149
15,outcome_innocent,0.9867,0.0163,0.5168,149
16,outcome_innocent,1.0,0.0,0.5168,149
17,outcome_innocent,0.9864,0.0166,0.5168,149
18,outcome_innocent,0.9931,0.0138,0.5168,149
19,outcome_innocent,0.9864,0.0166,0.5168,149
20,outcome_innocent,0.9729,0.0257,0.5168,149
21,outcome_innocent,0.9729,0.0257,0.5168,149
22,outcome_innocent,0.9526,0.046,0.5168,149
23,outcome_innocent,0.9526,0.046,0.5168,149
24,outcome_innocent,0.9391,0.0546,0.5168,149
25,outcome_innocent,0.9257,0.0544,0.5168,149
26,outcome_innocent,0.9324,0.0485,0.5168,149
27,outcome_innocent,0.9191,0.0463,0.5168,149
28,outcome_innocent,0.9057,0.0338,0.5168,149
0,outcome_guilty,0.8926,0.0441,0.5168,149
1,outcome_guilty,0.8993,0.0211,0.5168,149
2,outcome_guilty,0.8993,0.0014,0.5168,149
3,outcome_guilty,0.8924,0.026,0.5168,149
4,outcome_guilty,0.9191,0.0355,0.5168,149
5,outcome_guilty,0.9326,0.0306,0.5168,149
6,outcome_guilty,0.9462,0.0269,0.5168,149
7,outcome_guilty,0.9595,0.0254,0.5168,149
8,outcome_guilty,0.9526,0.0351,0.5168,149
9,outcome_guilty,0.966,0.0378,0.5168,149
10,outcome_guilty,0.9193,0.0272,0.5168,149
11,outcome_guilty,0.9529,0.0169,0.5168,149
12,outcome_guilty,0.9795,0.0275,0.5168,149
13,outcome_guilty,0.9931,0.0138,0.5168,149
14,outcome_guilty,0.9798,0.0165,0.5168,149
15,outcome_guilty,0.98,0.0163,0.5168,149
16,outcome_guilty,0.9933,0.0133,0.5168,149
17,outcome_guilty,0.9933,0.0133,0.5168,149
18,outcome_guilty,1.0,0.0,0.5168,149
19,outcome_guilty,0.9798,0.0165,0.5168,149
20,outcome_guilty,0.9731,0.0135,0.5168,149
21,outcome_guilty,0.9662,0.0218,0.5168,149
22,outcome_guilty,0.9462,0.0342,0.5168,149
23,outcome_guilty,0.9462,0.0167,0.5168,149
24,outcome_guilty,0.9324,0.0382,0.5168,149
25,outcome_guilty,0.9191,0.0463,0.5168,149
26,outcome_guilty,0.9124,0.0353,0.5168,149
27,outcome_guilty,0.9055,0.041,0.5168,149
28,outcome_guilty,0.8989,0.0386,0.5168,149
