model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.9412,0.9565,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.2748,0.3947,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.1704,0.3367,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.1195,0.3091,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.1063,0.3016,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.2038,0.2966,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.1901,0.2854,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.2388,0.3865,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.1512,0.3274,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.1011,0.2982,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.0912,0.2915,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.1722,0.2811,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.1636,0.2712,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.9326,0.9946,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.8731,0.9831,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.8549,0.9813,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.7882,0.8978,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.8048,0.8788,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.921,0.9895,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.9326,0.9888,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.7543,0.9021,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.7919,0.883,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.9832,0.9995,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.7932,0.9161,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.8272,0.9018,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.779,0.9145,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.8194,0.9005,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.9852,0.9972,0.264
