mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,15,15,0.9412,0.9565,0.9859
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,15,15,0.2748,0.3947,0.6721
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,15,14,0.1704,0.3367,0.5436
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,15,19,0.1195,0.3091,0.4294
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,15,18,0.1063,0.3016,0.3993
peak,OLMo-2-1124-7B,Qwen2.5-7B,15,16,0.2038,0.2966,0.4162
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,15,18,0.1901,0.2854,0.4014
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,15,15,0.2388,0.3865,0.6762
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,15,14,0.1512,0.3274,0.5483
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,15,19,0.1011,0.2982,0.4328
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,15,18,0.0912,0.2915,0.4029
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,15,16,0.1722,0.2811,0.4165
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,15,18,0.1636,0.2712,0.4027
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,15,14,0.9326,0.9946,0.9643
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,15,19,0.8731,0.9831,0.8871
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,15,18,0.8549,0.9813,0.8661
peak,Qwen2.5-0.5B,Qwen2.5-7B,15,16,0.7882,0.8978,0.8548
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,15,18,0.8048,0.8788,0.8503
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,14,19,0.921,0.9895,0.9514
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,14,18,0.9326,0.9888,0.9407
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,14,16,0.7543,0.9021,0.9175
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,14,18,0.7919,0.883,0.9178
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,19,18,0.9832,0.9995,0.9965
peak,Qwen2.5-1.5B,Qwen2.5-7B,19,16,0.7932,0.9161,0.9201
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,19,18,0.8272,0.9018,0.932
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,18,16,0.779,0.9145,0.9146
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,18,18,0.8194,0.9005,0.9286
peak,Qwen2.5-7B,Qwen2.5-7B-Instruct,16,18,0.9852,0.9972,0.9933
reldepth0.75,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,24,24,0.9365,0.977,0.9911
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B,24,18,0.3972,0.3718,0.6959
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,24,18,0.3666,0.3451,0.6895
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B,24,21,0.1694,0.2196,0.4606
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,24,21,0.1409,0.2118,0.4339
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B,24,21,0.3073,0.2274,0.492
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,24,21,0.2722,0.209,0.447
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,24,18,0.3456,0.3632,0.6993
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,24,18,0.3399,0.3408,0.6961
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,24,21,0.1051,0.2154,0.4689
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,24,21,0.0849,0.2085,0.4427
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,24,21,0.2344,0.2197,0.4969
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,24,21,0.1977,0.2032,0.4537
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,18,18,0.9566,0.9876,0.9795
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B,18,21,0.7769,0.9407,0.856
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,18,21,0.768,0.9364,0.8335
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B,18,21,0.7161,0.8755,0.8569
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,18,21,0.7222,0.8584,0.8347
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,18,21,0.7918,0.9674,0.8932
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,18,21,0.8079,0.9652,0.8771
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,18,21,0.7095,0.8931,0.8841
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,18,21,0.7198,0.8772,0.8668
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,21,21,0.9843,0.9994,0.9964
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B,21,21,0.8131,0.915,0.9186
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,21,21,0.8235,0.9026,0.9251
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,21,21,0.7943,0.9131,0.9098
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,21,21,0.8125,0.9015,0.9216
reldepth0.75,Qwen2.5-7B,Qwen2.5-7B-Instruct,21,21,0.9801,0.996,0.9891
