layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.595,0.5,False
1,outcome,0.51,0.5,False
2,intent,0.55,0.5,False
2,outcome,0.5675,0.5,False
3,intent,0.59,0.5,False
3,outcome,0.48,0.5,False
4,intent,0.6075,0.5,False
4,outcome,0.6,0.5,False
5,intent,0.5475,0.5,False
5,outcome,0.6025,0.5,False
6,intent,0.5725,0.5,False
6,outcome,0.5825,0.5,False
7,intent,0.615,0.5,False
7,outcome,0.615,0.5,False
8,intent,0.6,0.5,False
8,outcome,0.6475,0.5,False
9,intent,0.6075,0.5,False
9,outcome,0.6275,0.5,False
10,intent,0.8275,0.5,False
10,outcome,0.625,0.5,False
11,intent,0.8625,0.5,False
11,outcome,0.6,0.5,False
12,intent,0.825,0.5,False
12,outcome,0.7425,0.5,False
13,intent,0.895,0.5,False
13,outcome,0.73,0.5,False
14,intent,0.895,0.5,False
14,outcome,0.8025,0.5,False
15,intent,0.8725,0.5,False
15,outcome,0.8025,0.5,False
16,intent,0.9075,0.5,False
16,outcome,0.81,0.5,False
17,intent,0.8625,0.5,False
17,outcome,0.83,0.5,False
18,intent,0.8725,0.5,False
18,outcome,0.8075,0.5,False
19,intent,0.8825,0.5,False
19,outcome,0.82,0.5,False
20,intent,0.85,0.5,False
20,outcome,0.76,0.5,False
21,intent,0.83,0.5,False
21,outcome,0.7675,0.5,False
22,intent,0.81,0.5,False
22,outcome,0.78,0.5,False
23,intent,0.7975,0.5,False
23,outcome,0.77,0.5,False
24,intent,0.8175,0.5,False
24,outcome,0.78,0.5,False
25,intent,0.8275,0.5,False
25,outcome,0.815,0.5,False
26,intent,0.81,0.5,False
26,outcome,0.8125,0.5,False
27,intent,0.83,0.5,False
27,outcome,0.815,0.5,False
28,intent,0.83,0.5,False
28,outcome,0.805,0.5,False
29,intent,0.8075,0.5,False
29,outcome,0.77,0.5,False
30,intent,0.8175,0.5,False
30,outcome,0.7925,0.5,False
31,intent,0.785,0.5,False
31,outcome,0.725,0.5,False
32,intent,0.8225,0.5,False
32,outcome,0.75,0.5,False
