layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.56,0.5,False
1,outcome,0.525,0.5,False
2,intent,0.53,0.5,False
2,outcome,0.57,0.5,False
3,intent,0.5425,0.5,False
3,outcome,0.5575,0.5,False
4,intent,0.595,0.5,False
4,outcome,0.59,0.5,False
5,intent,0.605,0.5,False
5,outcome,0.565,0.5,False
6,intent,0.565,0.5,False
6,outcome,0.645,0.5,False
7,intent,0.6175,0.5,False
7,outcome,0.5325,0.5,False
8,intent,0.6,0.5,False
8,outcome,0.65,0.5,False
9,intent,0.555,0.5,False
9,outcome,0.6275,0.5,False
10,intent,0.74,0.5,False
10,outcome,0.72,0.5,False
11,intent,0.7975,0.5,False
11,outcome,0.76,0.5,False
12,intent,0.7925,0.5,False
12,outcome,0.75,0.5,False
13,intent,0.8825,0.5,False
13,outcome,0.77,0.5,False
14,intent,0.875,0.5,False
14,outcome,0.795,0.5,False
15,intent,0.885,0.5,False
15,outcome,0.7925,0.5,False
16,intent,0.855,0.5,False
16,outcome,0.8,0.5,False
17,intent,0.8375,0.5,False
17,outcome,0.76,0.5,False
18,intent,0.875,0.5,False
18,outcome,0.71,0.5,False
19,intent,0.845,0.5,False
19,outcome,0.7325,0.5,False
20,intent,0.845,0.5,False
20,outcome,0.6875,0.5,False
21,intent,0.815,0.5,False
21,outcome,0.73,0.5,False
22,intent,0.815,0.5,False
22,outcome,0.71,0.5,False
23,intent,0.805,0.5,False
23,outcome,0.71,0.5,False
24,intent,0.76,0.5,False
24,outcome,0.6875,0.5,False
25,intent,0.815,0.5,False
25,outcome,0.675,0.5,False
26,intent,0.785,0.5,False
26,outcome,0.6975,0.5,False
27,intent,0.77,0.5,False
27,outcome,0.7075,0.5,False
28,intent,0.805,0.5,False
28,outcome,0.695,0.5,False
29,intent,0.7725,0.5,False
29,outcome,0.6725,0.5,False
30,intent,0.7625,0.5,False
30,outcome,0.685,0.5,False
31,intent,0.7625,0.5,False
31,outcome,0.6825,0.5,False
32,intent,0.765,0.5,False
32,outcome,0.7075,0.5,False
