model,mean_contrast,sd_across_prompts,min,max,range,sd_over_abs_mean,n_prompts
HuggingFaceH4-zephyr-7b-beta,-0.5365,0.0882,-0.6457,-0.4288,0.2169,0.164,6
Llama-3-1-Tulu-3-8B,-0.4196,0.0605,-0.4851,-0.3096,0.1755,0.144,6
Mistral-7B-Instruct-v0-3,-0.4709,0.0627,-0.5473,-0.3977,0.1496,0.133,6
Mistral-7B-v0-3,-0.0021,0.0059,-0.0062,0.0098,0.016,2.846,6
OLMo-2-1124-7B,-0.0013,0.0096,-0.0127,0.0153,0.028,7.615,6
OLMo-2-1124-7B-Instruct,-0.7499,0.0895,-0.8627,-0.6077,0.2549,0.119,6
Qwen2.5-0-5B,0.0057,0.0099,-0.0113,0.0195,0.0308,1.723,6
Qwen2.5-0-5B-Instruct,-0.0295,0.0296,-0.0865,-0.0021,0.0845,1.004,6
Qwen2.5-1-5B,-0.0122,0.0086,-0.0213,-0.0013,0.0201,0.708,6
Qwen2.5-1-5B-Instruct,-0.2117,0.0277,-0.2545,-0.1824,0.0721,0.131,6
Qwen2.5-14B,-0.1573,0.0952,-0.2911,-0.0512,0.24,0.605,6
Qwen2.5-14B-Instruct,-0.382,0.0319,-0.4216,-0.3386,0.083,0.084,6
Qwen2.5-3B,-0.0549,0.0248,-0.0838,-0.0249,0.059,0.452,6
Qwen2.5-3B-Instruct,-0.2667,0.1209,-0.4597,-0.1017,0.358,0.453,6
Qwen2.5-7B,-0.0564,0.0223,-0.0753,-0.0227,0.0526,0.395,6
Qwen2.5-7B-Instruct,-0.2215,0.0968,-0.3558,-0.0965,0.2593,0.437,6
unsloth-Meta-Llama-3-1-8B,0.0022,0.0026,-0.0011,0.0058,0.0069,1.205,6
unsloth-Meta-Llama-3-1-8B-Instruct,-0.2072,0.0279,-0.2458,-0.1759,0.0698,0.135,6
unsloth-gemma-2-9b,0.001,0.0016,-0.0012,0.0033,0.0045,1.652,6
unsloth-gemma-2-9b-it,-0.4111,0.0795,-0.5303,-0.2861,0.2441,0.193,6

n_obs,120
n_models,20
n_templates,6
pooled_variance_share,"{'C(wording)': np.float64(0.0), 'C(construct)': np.float64(0.0005), 'C(wording):C(construct)': np.float64(0.0041), 'Residual': np.float64(0.9953)}"
model_as_factor_variance_share,"{'C(model)': np.float64(0.9428), 'C(wording)': np.float64(0.0), 'C(construct)': np.float64(0.0005), 'C(wording):C(construct)': np.float64(0.0041), 'Residual': np.float64(0.0525)}"
centered_variance_share,"{'C(wording)': np.float64(0.0003), 'C(construct)': np.float64(0.0094), 'C(wording):C(construct)': np.float64(0.0723), 'Residual': np.float64(0.918)}"
within_model_sd_median,0.0287
within_model_sd_mean,0.0448
between_model_sd,0.221
variance_ratio_within_over_between,0.041
