family,stage,stage_idx,model_id,contrast,step_from_prev,share_of_total_pct,b_intent,b_outcome,outcome_over_intent,rating_std,total_family_shift
OLMo-2-7B,base,0,allenai/OLMo-2-1124-7B,0.0017,,,0.0051,0.0034,,0.0575,-0.6885
OLMo-2-7B,SFT,1,allenai/OLMo-2-1124-7B-SFT,-0.5862,-0.5879,85.4,0.0961,0.6823,7.1,0.3513,-0.6885
OLMo-2-7B,DPO,2,allenai/OLMo-2-1124-7B-DPO,-0.6518,-0.0656,9.5,0.1023,0.7541,7.37,0.3962,-0.6885
OLMo-2-7B,Instruct,3,allenai/OLMo-2-1124-7B-Instruct,-0.6868,-0.035,5.1,0.1226,0.8095,6.6,0.412,-0.6885
Tulu-3-8B,base,0,unsloth/Meta-Llama-3.1-8B,0.0074,,,0.0059,-0.0015,,0.0966,-0.4051
Tulu-3-8B,SFT,1,allenai/Llama-3.1-Tulu-3-8B-SFT,-0.2577,-0.2651,65.4,0.13,0.3877,2.98,0.206,-0.4051
Tulu-3-8B,DPO,2,allenai/Llama-3.1-Tulu-3-8B-DPO,-0.3947,-0.137,33.8,0.1693,0.564,3.33,0.289,-0.4051
Tulu-3-8B,RLVR,3,allenai/Llama-3.1-Tulu-3-8B,-0.3977,-0.003,0.7,0.1666,0.5643,3.39,0.2894,-0.4051
Zephyr-7B,base,0,mistralai/Mistral-7B-v0.1,-0.0009,,,0.0023,0.0032,,0.0285,-0.5507
Zephyr-7B,SFT,1,alignment-handbook/zephyr-7b-sft-full,-0.1496,-0.1487,27.0,0.0224,0.172,7.68,0.1679,-0.5507
Zephyr-7B,DPO,2,HuggingFaceH4/zephyr-7b-beta,-0.5516,-0.402,73.0,0.0826,0.6342,7.68,0.3878,-0.5507
