pooling,model,intent_gap,outcome_gap,intent_minus_outcome,larger
belief_last,OLMo-2-1124-7B,0.3818,0.3193,0.0625,intent
belief_last,OLMo-2-1124-7B-Instruct,0.3922,0.3434,0.0488,intent
belief_last,Qwen2.5-0.5B,0.3094,0.2124,0.097,intent
belief_last,Qwen2.5-0.5B-Instruct,0.3128,0.2124,0.1004,intent
belief_last,Qwen2.5-1.5B,0.3577,0.2296,0.1281,intent
belief_last,Qwen2.5-1.5B-Instruct,0.3611,0.2745,0.0866,intent
belief_last,Qwen2.5-7B,0.3749,0.2917,0.0832,intent
belief_last,Qwen2.5-7B-Instruct,0.3749,0.2848,0.0901,intent
action_last,OLMo-2-1124-7B,0.3434,0.2131,0.1303,intent
action_last,OLMo-2-1124-7B-Instruct,0.3365,0.2511,0.0854,intent
action_last,Qwen2.5-0.5B,0.109,0.089,0.02,intent
action_last,Qwen2.5-0.5B-Instruct,0.14,0.0338,0.1062,intent
action_last,Qwen2.5-1.5B,0.1917,0.1304,0.0613,intent
action_last,Qwen2.5-1.5B-Instruct,0.2331,0.1787,0.0544,intent
action_last,Qwen2.5-7B,0.3262,0.158,0.1682,intent
action_last,Qwen2.5-7B-Instruct,0.3572,0.1718,0.1854,intent
mean,OLMo-2-1124-7B,0.2726,0.2185,0.0541,intent
mean,OLMo-2-1124-7B-Instruct,0.2757,0.2419,0.0338,intent
mean,Qwen2.5-0.5B,0.0606,0.1884,-0.1278,outcome
mean,Qwen2.5-0.5B-Instruct,0.0669,0.1918,-0.1249,outcome
mean,Qwen2.5-1.5B,0.1256,0.1682,-0.0426,outcome
mean,Qwen2.5-1.5B-Instruct,0.1249,0.1781,-0.0532,outcome
mean,Qwen2.5-7B,0.2288,0.2185,0.0103,intent
mean,Qwen2.5-7B-Instruct,0.2522,0.2252,0.027,intent
last,OLMo-2-1124-7B,0.2555,0.2452,0.0103,intent
last,OLMo-2-1124-7B-Instruct,0.2558,0.2452,0.0106,intent
last,Qwen2.5-0.5B,0.0777,0.2385,-0.1608,outcome
last,Qwen2.5-0.5B-Instruct,0.1014,0.2252,-0.1238,outcome
last,Qwen2.5-1.5B,0.145,0.2452,-0.1002,outcome
last,Qwen2.5-1.5B-Instruct,0.1615,0.2452,-0.0837,outcome
last,Qwen2.5-7B,0.2891,0.2452,0.0439,intent
last,Qwen2.5-7B-Instruct,0.2858,0.2452,0.0406,intent

pooling,n_models,n_intent_larger,mean_difference,sign_test_p_two_sided
belief_last,8,8,0.0871,0.0078
action_last,8,8,0.1014,0.0078
mean,8,4,-0.0279,1.0
last,8,4,-0.0454,1.0
