model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.6797,0.8663,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.411,0.7368,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.4419,0.7409,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.3479,0.6525,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.5411,0.7983,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.4776,0.8328,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.4377,0.8218,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.5288,0.7795,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.6021,0.8022,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.2965,0.63,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.7477,0.8634,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.7333,0.8989,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.7136,0.8883,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.8926,0.9461,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.4134,0.653,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.6807,0.8173,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.6333,0.7993,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.5742,0.7706,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.4381,0.6546,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.7164,0.8446,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.6424,0.8195,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.5682,0.7896,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.4803,0.7145,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.3366,0.6577,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.318,0.6265,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.8109,0.8801,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.7574,0.853,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.9093,0.9482,0.264
