mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,18,14,0.6797,0.8663,0.9563
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,18,15,0.411,0.7368,0.9037
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,18,15,0.4419,0.7409,0.9006
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,18,25,0.3479,0.6525,0.8833
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,18,17,0.5411,0.7983,0.9235
peak,OLMo-2-1124-7B,Qwen2.5-7B,18,17,0.4776,0.8328,0.9396
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,18,18,0.4377,0.8218,0.931
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,14,15,0.5288,0.7795,0.9321
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,14,15,0.6021,0.8022,0.935
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,14,25,0.2965,0.63,0.8863
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,14,17,0.7477,0.8634,0.9506
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,14,17,0.7333,0.8989,0.9681
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,14,18,0.7136,0.8883,0.9552
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,15,15,0.8926,0.9461,0.9837
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,15,25,0.4134,0.653,0.8966
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,15,17,0.6807,0.8173,0.9386
peak,Qwen2.5-0.5B,Qwen2.5-7B,15,17,0.6333,0.7993,0.9317
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,15,18,0.5742,0.7706,0.9019
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,15,25,0.4381,0.6546,0.8951
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,15,17,0.7164,0.8446,0.9442
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,15,17,0.6424,0.8195,0.9333
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,15,18,0.5682,0.7896,0.9033
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,25,17,0.4803,0.7145,0.9079
peak,Qwen2.5-1.5B,Qwen2.5-7B,25,17,0.3366,0.6577,0.8866
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,25,18,0.318,0.6265,0.8587
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,17,17,0.8109,0.8801,0.9513
