mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,15,16,0.8146,0.8916,0.9633
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,15,14,0.5158,0.646,0.8694
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,15,12,0.5142,0.6672,0.8738
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,15,14,0.5351,0.7468,0.9059
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,15,14,0.5362,0.7685,0.911
peak,OLMo-2-1124-7B,Qwen2.5-7B,15,19,0.541,0.8058,0.9347
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,15,20,0.5261,0.764,0.9181
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,16,14,0.5318,0.6438,0.8537
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,16,12,0.56,0.6664,0.8602
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,16,14,0.5776,0.7485,0.8928
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,16,14,0.6149,0.7862,0.9061
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,16,19,0.601,0.8298,0.9454
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,16,20,0.6475,0.8079,0.9409
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,14,12,0.886,0.8582,0.9438
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,14,14,0.6783,0.7372,0.8972
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,14,14,0.6672,0.7228,0.8923
peak,Qwen2.5-0.5B,Qwen2.5-7B,14,19,0.5831,0.6638,0.8643
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,14,20,0.5654,0.6264,0.8393
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,12,14,0.7521,0.7778,0.9144
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,12,14,0.7565,0.7844,0.9184
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,12,19,0.5857,0.6788,0.8652
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,12,20,0.5849,0.6441,0.841
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,14,14,0.936,0.9481,0.9805
peak,Qwen2.5-1.5B,Qwen2.5-7B,14,19,0.6568,0.7645,0.9043
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,14,20,0.6003,0.7178,0.8773
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,14,19,0.6581,0.7803,0.9094
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,14,20,0.6427,0.7444,0.8894
peak,Qwen2.5-7B,Qwen2.5-7B-Instruct,19,20,0.8282,0.9114,0.9668
reldepth0.75,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,24,24,0.7099,0.7961,0.9159
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B,24,18,0.4422,0.4948,0.7977
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,24,18,0.4708,0.5413,0.8133
