model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,-0.0005,-0.0032,0.0,-0.0028,0.0009
OLMo-2-1124-7B,8,False,0.25,-0.0041,0.4375,-0.0003,0.4465,0.0007
OLMo-2-1124-7B,16,True,0.5,0.0095,0.4948,0.0132,0.5035,0.0255
OLMo-2-1124-7B,24,False,0.75,0.0082,0.4157,0.0122,0.4245,0.0279
OLMo-2-1124-7B,32,False,1.0,0.0068,0.3057,0.0124,0.3182,0.0374
OLMo-2-1124-7B-Instruct,0,False,0.0,-0.0005,-0.0031,0.0001,-0.0025,0.0396
OLMo-2-1124-7B-Instruct,8,False,0.25,-0.0042,0.4607,-0.0005,0.4698,0.001
OLMo-2-1124-7B-Instruct,16,True,0.5,0.0128,0.6316,0.0161,0.6402,0.0245
OLMo-2-1124-7B-Instruct,24,False,0.75,0.0093,0.5242,0.0127,0.5324,0.0234
OLMo-2-1124-7B-Instruct,32,False,1.0,0.0186,0.4142,0.024,0.4277,0.0532
Qwen2.5-0.5B,0,False,0.0,-0.0001,-0.0023,0.0,-0.0022,0.0009
Qwen2.5-0.5B,6,False,0.25,-0.0044,0.161,0.0,0.168,0.0001
Qwen2.5-0.5B,12,True,0.5,-0.0018,0.4911,0.0015,0.4986,0.003
Qwen2.5-0.5B,18,False,0.75,-0.0035,0.2369,0.0001,0.2429,0.0002
Qwen2.5-0.5B,24,False,1.0,-0.0037,0.1544,0.0014,0.1629,0.0087
Qwen2.5-0.5B-Instruct,0,False,0.0,-0.0001,-0.0023,0.0,-0.0022,0.0003
Qwen2.5-0.5B-Instruct,6,False,0.25,-0.0045,0.1443,0.0001,0.1514,0.0006
Qwen2.5-0.5B-Instruct,12,False,0.5,-0.001,0.5236,0.0022,0.5313,0.0041
Qwen2.5-0.5B-Instruct,18,False,0.75,-0.0032,0.2809,0.0006,0.2878,0.0019
Qwen2.5-0.5B-Instruct,21,True,0.875,-0.0037,0.2296,0.001,0.2383,0.004
Qwen2.5-0.5B-Instruct,24,False,1.0,-0.0037,0.1768,0.0018,0.1866,0.0097
Qwen2.5-1.5B,0,False,0.0,-0.0003,-0.0037,0.0001,-0.0033,0.0387
Qwen2.5-1.5B,7,False,0.25,-0.0051,0.1753,-0.0007,0.1824,0.0037
Qwen2.5-1.5B,13,True,0.464,-0.0022,0.5094,0.001,0.5172,0.002
Qwen2.5-1.5B,14,False,0.5,-0.0017,0.5274,0.0014,0.5348,0.0026
Qwen2.5-1.5B,21,False,0.75,-0.0009,0.4332,0.002,0.439,0.0046
Qwen2.5-1.5B,28,False,1.0,-0.002,0.2238,0.0032,0.234,0.0137
Qwen2.5-1.5B-Instruct,0,False,0.0,-0.0002,-0.0042,0.0003,-0.0038,0.0646
Qwen2.5-1.5B-Instruct,7,False,0.25,-0.005,0.1715,-0.0008,0.1781,0.0044
Qwen2.5-1.5B-Instruct,14,False,0.5,-0.0017,0.5422,0.0012,0.549,0.0022
Qwen2.5-1.5B-Instruct,20,True,0.714,-0.0007,0.5346,0.0019,0.54,0.0034
Qwen2.5-1.5B-Instruct,21,False,0.75,0.0005,0.5182,0.0031,0.5237,0.0058
Qwen2.5-1.5B-Instruct,28,False,1.0,-0.0001,0.2905,0.005,0.3018,0.0164
Qwen2.5-7B,0,False,0.0,-0.0003,-0.0037,0.0001,-0.0033,0.0387
Qwen2.5-7B,7,False,0.25,-0.0042,0.2755,-0.0,0.2837,0.0001
Qwen2.5-7B,14,False,0.5,0.0018,0.4379,0.0052,0.4452,0.0114
Qwen2.5-7B,19,True,0.679,0.0053,0.465,0.0084,0.4714,0.0174
Qwen2.5-7B,21,False,0.75,0.0015,0.4569,0.0045,0.4635,0.0097
Qwen2.5-7B,28,False,1.0,-0.0017,0.2344,0.0038,0.2453,0.0152
Qwen2.5-7B-Instruct,0,False,0.0,-0.0001,-0.0023,0.0,-0.0022,0.0003
Qwen2.5-7B-Instruct,7,False,0.25,-0.0043,0.2608,-0.0002,0.2686,0.0006
Qwen2.5-7B-Instruct,14,False,0.5,0.0016,0.4511,0.0047,0.4576,0.0102
Qwen2.5-7B-Instruct,19,True,0.679,0.0078,0.5194,0.0107,0.5256,0.0199
Qwen2.5-7B-Instruct,21,False,0.75,0.0063,0.5111,0.0093,0.5176,0.0177
Qwen2.5-7B-Instruct,28,False,1.0,0.002,0.2868,0.0074,0.2986,0.0241
