mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,16,16,0.7975,0.929,0.9691
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,16,12,0.5495,0.7905,0.896
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,16,21,0.4023,0.5965,0.8249
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,16,13,0.5722,0.8262,0.9205
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,16,20,0.6047,0.815,0.9057
peak,OLMo-2-1124-7B,Qwen2.5-7B,16,19,0.5739,0.8519,0.9291
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,16,19,0.5867,0.8575,0.9248
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,16,12,0.645,0.8231,0.9073
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,16,21,0.4409,0.6024,0.8219
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,16,13,0.7345,0.8579,0.9324
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,16,20,0.798,0.8599,0.9326
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,16,19,0.7586,0.8762,0.9437
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,16,19,0.8243,0.9044,0.9519
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,12,21,0.5107,0.6496,0.8321
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,12,13,0.7745,0.864,0.937
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,12,20,0.6712,0.8018,0.9042
peak,Qwen2.5-0.5B,Qwen2.5-7B,12,19,0.6201,0.8093,0.9076
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,12,19,0.6011,0.818,0.9029
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,21,13,0.444,0.6462,0.8345
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,21,20,0.5185,0.6169,0.8083
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,21,19,0.4112,0.6231,0.8185
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,21,19,0.4312,0.6054,0.8036
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,13,20,0.7636,0.8729,0.9348
peak,Qwen2.5-1.5B,Qwen2.5-7B,13,19,0.7287,0.8456,0.9217
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,13,19,0.7372,0.8534,0.9209
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,20,19,0.7641,0.8656,0.9284
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,20,19,0.8306,0.8814,0.9404
peak,Qwen2.5-7B,Qwen2.5-7B-Instruct,19,19,0.8796,0.9484,0.9725
reldepth0.75,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,24,24,0.7265,0.8606,0.929
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B,24,18,0.4142,0.6114,0.8089
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,24,18,0.4682,0.6007,0.8024
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B,24,21,0.5263,0.7529,0.8725
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,24,21,0.5776,0.7755,0.8772
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B,24,21,0.5275,0.7703,0.8801
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,24,21,0.5116,0.7797,0.8783
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,24,18,0.4088,0.6253,0.818
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,24,18,0.474,0.6324,0.8198
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,24,21,0.6063,0.7785,0.891
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,24,21,0.6772,0.8051,0.8978
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,24,21,0.6553,0.8063,0.9016
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,24,21,0.6793,0.834,0.91
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,18,18,0.8586,0.9005,0.9412
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B,18,21,0.5415,0.6883,0.8443
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,18,21,0.5225,0.669,0.8304
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B,18,21,0.4261,0.6593,0.8282
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,18,21,0.4222,0.6364,0.8171
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,18,21,0.5424,0.6734,0.8415
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,18,21,0.553,0.6667,0.8405
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,18,21,0.4969,0.6567,0.827
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,18,21,0.5041,0.6407,0.8222
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,21,21,0.9074,0.9462,0.9679
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B,21,21,0.6294,0.8067,0.8963
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,21,21,0.6458,0.8038,0.8944
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,21,21,0.6723,0.8199,0.9024
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,21,21,0.7523,0.8463,0.9178
reldepth0.75,Qwen2.5-7B,Qwen2.5-7B-Instruct,21,21,0.8441,0.9244,0.9565
