layer,target,cv_acc,chance
0,intent,0.5366666666666666,0.5
0,outcome,0.7859770114942528,0.5167785234899329
1,intent,0.5236781609195402,0.5
1,outcome,0.7655172413793103,0.5167785234899329
2,intent,0.5867816091954022,0.5
2,outcome,0.7958620689655173,0.5167785234899329
3,intent,0.5704597701149426,0.5
3,outcome,0.7822988505747126,0.5167785234899329
4,intent,0.5870114942528737,0.5
4,outcome,0.7789655172413793,0.5167785234899329
5,intent,0.5906896551724137,0.5
5,outcome,0.8093103448275862,0.5167785234899329
6,intent,0.6178160919540231,0.5
6,outcome,0.849310344827586,0.5167785234899329
7,intent,0.6277011494252873,0.5
7,outcome,0.8529885057471265,0.5167785234899329
8,intent,0.6177011494252873,0.5
8,outcome,0.8762068965517242,0.5167785234899329
9,intent,0.6916091954022988,0.5
9,outcome,0.8894252873563218,0.5167785234899329
10,intent,0.7183908045977011,0.5
10,outcome,0.9028735632183909,0.5167785234899329
11,intent,0.758735632183908,0.5
11,outcome,0.9363218390804597,0.5167785234899329
12,intent,0.7485057471264368,0.5
12,outcome,0.9363218390804597,0.5167785234899329
13,intent,0.7986206896551724,0.5
13,outcome,0.9664367816091955,0.5167785234899329
14,intent,0.8427586206896553,0.5
14,outcome,0.9533333333333334,0.5167785234899329
15,intent,0.8691954022988506,0.5
15,outcome,0.9766666666666666,0.5167785234899329
16,intent,0.8460919540229884,0.5
16,outcome,0.9766666666666668,0.5167785234899329
17,intent,0.8429885057471264,0.5
17,outcome,0.9633333333333333,0.5167785234899329
18,intent,0.8125287356321838,0.5
18,outcome,0.9464367816091954,0.5167785234899329
19,intent,0.7889655172413793,0.5
19,outcome,0.95,0.5167785234899329
20,intent,0.8021839080459771,0.5
20,outcome,0.9466666666666665,0.5167785234899329
21,intent,0.762183908045977,0.5
21,outcome,0.9364367816091953,0.5167785234899329
22,intent,0.7386206896551724,0.5
22,outcome,0.9397701149425286,0.5167785234899329
23,intent,0.7387356321839079,0.5
23,outcome,0.93,0.5167785234899329
24,intent,0.7324137931034482,0.5
24,outcome,0.9298850574712644,0.5167785234899329
25,intent,0.7324137931034482,0.5
25,outcome,0.8997701149425288,0.5167785234899329
26,intent,0.7355172413793103,0.5
26,outcome,0.9031034482758621,0.5167785234899329
27,intent,0.7219540229885058,0.5
27,outcome,0.8729885057471265,0.5167785234899329
28,intent,0.7389655172413793,0.5
28,outcome,0.8864367816091955,0.5167785234899329
29,intent,0.7460919540229886,0.5
29,outcome,0.883103448275862,0.5167785234899329
30,intent,0.7426436781609196,0.5
30,outcome,0.8764367816091954,0.5167785234899329
31,intent,0.7186206896551723,0.5
31,outcome,0.8766666666666666,0.5167785234899329
32,intent,0.7320689655172413,0.5
32,outcome,0.8700000000000001,0.5167785234899329
