layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.569,0.0379,0.5,144
2,intent_noharm,0.5471,0.0591,0.5,144
3,intent_noharm,0.5533,0.0723,0.5,144
4,intent_noharm,0.5762,0.0468,0.5,144
5,intent_noharm,0.5895,0.0462,0.5,144
6,intent_noharm,0.5814,0.0863,0.5,144
7,intent_noharm,0.6381,0.0745,0.5,144
8,intent_noharm,0.6514,0.0791,0.5,144
9,intent_noharm,0.7348,0.0803,0.5,144
10,intent_noharm,0.7848,0.025,0.5,144
11,intent_noharm,0.7981,0.0625,0.5,144
12,intent_noharm,0.8605,0.0517,0.5,144
13,intent_noharm,0.8805,0.0591,0.5,144
14,intent_noharm,0.9238,0.061,0.5,144
15,intent_noharm,0.9086,0.0831,0.5,144
16,intent_noharm,0.901,0.0972,0.5,144
17,intent_noharm,0.9095,0.087,0.5,144
18,intent_noharm,0.8886,0.0941,0.5,144
19,intent_noharm,0.8957,0.0871,0.5,144
20,intent_noharm,0.8824,0.0743,0.5,144
21,intent_noharm,0.8624,0.0772,0.5,144
22,intent_noharm,0.91,0.0725,0.5,144
23,intent_noharm,0.89,0.071,0.5,144
24,intent_noharm,0.869,0.0918,0.5,144
25,intent_noharm,0.8548,0.0631,0.5,144
26,intent_noharm,0.8414,0.0784,0.5,144
27,intent_noharm,0.869,0.0532,0.5,144
28,intent_noharm,0.8767,0.0678,0.5,144
29,intent_noharm,0.8757,0.0689,0.5,144
30,intent_noharm,0.9033,0.0831,0.5,144
31,intent_noharm,0.9033,0.0831,0.5,144
32,intent_noharm,0.8824,0.0755,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.5388,0.0384,0.5,154
2,intent_harm,0.5325,0.0395,0.5,154
3,intent_harm,0.5704,0.0541,0.5,154
4,intent_harm,0.6017,0.0814,0.5,154
5,intent_harm,0.5633,0.0652,0.5,154
6,intent_harm,0.5508,0.0699,0.5,154
7,intent_harm,0.5962,0.063,0.5,154
8,intent_harm,0.5975,0.0467,0.5,154
9,intent_harm,0.7071,0.0758,0.5,154
10,intent_harm,0.7092,0.0976,0.5,154
11,intent_harm,0.7467,0.0511,0.5,154
12,intent_harm,0.7667,0.0838,0.5,154
13,intent_harm,0.7992,0.069,0.5,154
14,intent_harm,0.8071,0.085,0.5,154
15,intent_harm,0.8133,0.0785,0.5,154
16,intent_harm,0.8337,0.1203,0.5,154
17,intent_harm,0.8721,0.1024,0.5,154
18,intent_harm,0.8321,0.0815,0.5,154
19,intent_harm,0.8063,0.0631,0.5,154
20,intent_harm,0.7871,0.0925,0.5,154
21,intent_harm,0.7554,0.1166,0.5,154
22,intent_harm,0.7213,0.106,0.5,154
23,intent_harm,0.7542,0.0949,0.5,154
24,intent_harm,0.715,0.0668,0.5,154
25,intent_harm,0.7279,0.0967,0.5,154
26,intent_harm,0.7358,0.1052,0.5,154
27,intent_harm,0.7092,0.0909,0.5,154
28,intent_harm,0.7496,0.0946,0.5,154
29,intent_harm,0.75,0.1115,0.5,154
30,intent_harm,0.7692,0.1103,0.5,154
31,intent_harm,0.7233,0.0951,0.5,154
32,intent_harm,0.7504,0.1268,0.5,154
0,outcome_innocent,0.5168,0.0149,0.5168,149
1,outcome_innocent,0.7726,0.0633,0.5168,149
2,outcome_innocent,0.88,0.0748,0.5168,149
3,outcome_innocent,0.9267,0.068,0.5168,149
4,outcome_innocent,0.96,0.0249,0.5168,149
5,outcome_innocent,0.9798,0.0268,0.5168,149
6,outcome_innocent,0.9798,0.0165,0.5168,149
7,outcome_innocent,0.9933,0.0133,0.5168,149
8,outcome_innocent,0.98,0.04,0.5168,149
9,outcome_innocent,0.98,0.04,0.5168,149
10,outcome_innocent,0.98,0.04,0.5168,149
11,outcome_innocent,0.9867,0.0267,0.5168,149
12,outcome_innocent,0.9867,0.0267,0.5168,149
13,outcome_innocent,0.9867,0.0267,0.5168,149
14,outcome_innocent,0.9867,0.0267,0.5168,149
15,outcome_innocent,0.9867,0.0267,0.5168,149
16,outcome_innocent,0.9867,0.0267,0.5168,149
17,outcome_innocent,1.0,0.0,0.5168,149
18,outcome_innocent,1.0,0.0,0.5168,149
19,outcome_innocent,1.0,0.0,0.5168,149
20,outcome_innocent,1.0,0.0,0.5168,149
21,outcome_innocent,1.0,0.0,0.5168,149
22,outcome_innocent,1.0,0.0,0.5168,149
23,outcome_innocent,0.9933,0.0133,0.5168,149
24,outcome_innocent,1.0,0.0,0.5168,149
25,outcome_innocent,0.9933,0.0133,0.5168,149
26,outcome_innocent,1.0,0.0,0.5168,149
27,outcome_innocent,0.9933,0.0133,0.5168,149
28,outcome_innocent,0.9933,0.0133,0.5168,149
29,outcome_innocent,1.0,0.0,0.5168,149
30,outcome_innocent,1.0,0.0,0.5168,149
31,outcome_innocent,1.0,0.0,0.5168,149
32,outcome_innocent,1.0,0.0,0.5168,149
0,outcome_guilty,0.5168,0.0149,0.5168,149
1,outcome_guilty,0.786,0.0707,0.5168,149
2,outcome_guilty,0.8731,0.0643,0.5168,149
3,outcome_guilty,0.92,0.0748,0.5168,149
4,outcome_guilty,0.9733,0.0327,0.5168,149
5,outcome_guilty,0.9867,0.0163,0.5168,149
6,outcome_guilty,0.9933,0.0133,0.5168,149
7,outcome_guilty,0.9933,0.0133,0.5168,149
8,outcome_guilty,0.9867,0.0163,0.5168,149
9,outcome_guilty,0.9733,0.0389,0.5168,149
10,outcome_guilty,0.98,0.04,0.5168,149
11,outcome_guilty,0.9867,0.0267,0.5168,149
12,outcome_guilty,0.9867,0.0267,0.5168,149
13,outcome_guilty,0.9867,0.0267,0.5168,149
14,outcome_guilty,0.9867,0.0267,0.5168,149
15,outcome_guilty,0.9867,0.0267,0.5168,149
16,outcome_guilty,0.9867,0.0267,0.5168,149
17,outcome_guilty,1.0,0.0,0.5168,149
