layer,target,cv_acc,chance
0,intent,0.5017543859649123,0.501779359430605
0,outcome,0.5017543859649123,0.501779359430605
1,intent,0.5550751879699247,0.501779359430605
1,outcome,0.5480576441102757,0.501779359430605
2,intent,0.5834586466165413,0.501779359430605
2,outcome,0.5906641604010024,0.501779359430605
3,intent,0.5974310776942356,0.501779359430605
3,outcome,0.5693609022556391,0.501779359430605
4,intent,0.5906641604010026,0.501779359430605
4,outcome,0.6725563909774436,0.501779359430605
5,intent,0.5765037593984962,0.501779359430605
5,outcome,0.6229323308270677,0.501779359430605
6,intent,0.6650375939849623,0.501779359430605
6,outcome,0.6087092731829574,0.501779359430605
7,intent,0.7116541353383459,0.501779359430605
7,outcome,0.593984962406015,0.501779359430605
8,intent,0.6618421052631579,0.501779359430605
8,outcome,0.5694235588972432,0.501779359430605
9,intent,0.6937969924812031,0.501779359430605
9,outcome,0.5906641604010027,0.501779359430605
10,intent,0.736967418546366,0.501779359430605
10,outcome,0.6617167919799499,0.501779359430605
11,intent,0.8221177944862156,0.501779359430605
11,outcome,0.6330827067669172,0.501779359430605
12,intent,0.8152255639097744,0.501779359430605
12,outcome,0.7010025062656642,0.501779359430605
13,intent,0.8717418546365915,0.501779359430605
13,outcome,0.743295739348371,0.501779359430605
14,intent,0.9107769423558896,0.501779359430605
14,outcome,0.7970551378446116,0.501779359430605
15,intent,0.8893483709273182,0.501779359430605
15,outcome,0.750814536340852,0.501779359430605
16,intent,0.8715538847117795,0.501779359430605
16,outcome,0.7470551378446115,0.501779359430605
17,intent,0.900062656641604,0.501779359430605
17,outcome,0.768734335839599,0.501779359430605
18,intent,0.9073308270676691,0.501779359430605
18,outcome,0.7651629072681704,0.501779359430605
19,intent,0.8647869674185463,0.501779359430605
19,outcome,0.7577694235588972,0.501779359430605
20,intent,0.8719924812030074,0.501779359430605
20,outcome,0.7510025062656641,0.501779359430605
21,intent,0.8577067669172933,0.501779359430605
21,outcome,0.7330200501253132,0.501779359430605
22,intent,0.843796992481203,0.501779359430605
22,outcome,0.750877192982456,0.501779359430605
23,intent,0.8329573934837093,0.501779359430605
23,outcome,0.7295739348370927,0.501779359430605
24,intent,0.8507518796992481,0.501779359430605
24,outcome,0.7154135338345865,0.501779359430605
25,intent,0.8614661654135338,0.501779359430605
25,outcome,0.7295112781954887,0.501779359430605
26,intent,0.8790726817042607,0.501779359430605
26,outcome,0.7154761904761905,0.501779359430605
27,intent,0.8719298245614034,0.501779359430605
27,outcome,0.7297619047619047,0.501779359430605
28,intent,0.8754385964912281,0.501779359430605
28,outcome,0.7083959899749374,0.501779359430605
29,intent,0.8505639097744361,0.501779359430605
29,outcome,0.7261278195488722,0.501779359430605
30,intent,0.8505639097744361,0.501779359430605
30,outcome,0.7262531328320802,0.501779359430605
31,intent,0.8293859649122807,0.501779359430605
31,outcome,0.7405388471177945,0.501779359430605
32,intent,0.8080827067669173,0.501779359430605
32,outcome,0.7298245614035087,0.501779359430605
