layer,target,cv_acc,chance
0,intent,0.5231829573934836,0.501779359430605
0,outcome,0.49824561403508766,0.501779359430605
1,intent,0.6441729323308272,0.501779359430605
1,outcome,0.5484335839598998,0.501779359430605
2,intent,0.6832080200501254,0.501779359430605
2,outcome,0.6050751879699248,0.501779359430605
3,intent,0.6010651629072682,0.501779359430605
3,outcome,0.5622180451127818,0.501779359430605
4,intent,0.6616541353383458,0.501779359430605
4,outcome,0.6262531328320803,0.501779359430605
5,intent,0.7293859649122807,0.501779359430605
5,outcome,0.6194862155388471,0.501779359430605
6,intent,0.875125313283208,0.501779359430605
6,outcome,0.693609022556391,0.501779359430605
7,intent,0.9214285714285715,0.501779359430605
7,outcome,0.7258771929824561,0.501779359430605
8,intent,0.9036967418546364,0.501779359430605
8,outcome,0.7366541353383459,0.501779359430605
9,intent,0.9285714285714285,0.501779359430605
9,outcome,0.7401002506265664,0.501779359430605
10,intent,0.9464285714285714,0.501779359430605
10,outcome,0.7721177944862155,0.501779359430605
11,intent,0.9714285714285715,0.501779359430605
11,outcome,0.8184210526315789,0.501779359430605
12,intent,0.9535714285714285,0.501779359430605
12,outcome,0.8469298245614034,0.501779359430605
13,intent,0.9678571428571429,0.501779359430605
13,outcome,0.8542606516290727,0.501779359430605
14,intent,0.9607142857142857,0.501779359430605
14,outcome,0.8648496240601503,0.501779359430605
15,intent,0.975,0.501779359430605
15,outcome,0.8436090225563909,0.501779359430605
16,intent,0.975,0.501779359430605
16,outcome,0.8365288220551379,0.501779359430605
17,intent,0.9679824561403508,0.501779359430605
17,outcome,0.8471177944862156,0.501779359430605
18,intent,0.9608395989974937,0.501779359430605
18,outcome,0.8399122807017543,0.501779359430605
19,intent,0.9501253132832079,0.501779359430605
19,outcome,0.8293859649122807,0.501779359430605
20,intent,0.9536967418546366,0.501779359430605
20,outcome,0.8115288220551378,0.501779359430605
21,intent,0.9394110275689223,0.501779359430605
21,outcome,0.793734335839599,0.501779359430605
22,intent,0.9322681704260651,0.501779359430605
22,outcome,0.8078947368421053,0.501779359430605
23,intent,0.9322681704260651,0.501779359430605
23,outcome,0.7723057644110275,0.501779359430605
24,intent,0.9394110275689224,0.501779359430605
24,outcome,0.7830200501253133,0.501779359430605
25,intent,0.95,0.501779359430605
25,outcome,0.786591478696742,0.501779359430605
26,intent,0.9286967418546366,0.501779359430605
26,outcome,0.7615914786967418,0.501779359430605
27,intent,0.9357142857142856,0.501779359430605
27,outcome,0.7582706766917292,0.501779359430605
28,intent,0.9392857142857143,0.501779359430605
28,outcome,0.7617167919799499,0.501779359430605
29,intent,0.9179824561403509,0.501779359430605
29,outcome,0.7511904761904761,0.501779359430605
30,intent,0.9215538847117795,0.501779359430605
30,outcome,0.7510651629072681,0.501779359430605
31,intent,0.9144110275689222,0.501779359430605
31,outcome,0.7617167919799499,0.501779359430605
32,intent,0.9036967418546367,0.501779359430605
32,outcome,0.7654135338345865,0.501779359430605
