layer,target,cv_acc,chance
0,intent,0.5333333333333334,0.5
0,outcome,0.7859770114942528,0.5167785234899329
1,intent,0.550344827586207,0.5
1,outcome,0.7688505747126436,0.5167785234899329
2,intent,0.5801149425287356,0.5
2,outcome,0.792528735632184,0.5167785234899329
3,intent,0.590919540229885,0.5
3,outcome,0.7957471264367817,0.5167785234899329
4,intent,0.6068965517241379,0.5
4,outcome,0.7926436781609195,0.5167785234899329
5,intent,0.6005747126436782,0.5
5,outcome,0.8093103448275862,0.5167785234899329
6,intent,0.6211494252873564,0.5
6,outcome,0.8459770114942529,0.5167785234899329
7,intent,0.6411494252873563,0.5
7,outcome,0.8529885057471265,0.5167785234899329
8,intent,0.6481609195402298,0.5
8,outcome,0.8727586206896552,0.5167785234899329
9,intent,0.684712643678161,0.5
9,outcome,0.8895402298850575,0.5167785234899329
10,intent,0.6981609195402299,0.5
10,outcome,0.9060919540229886,0.5167785234899329
11,intent,0.7391954022988505,0.5
11,outcome,0.9429885057471263,0.5167785234899329
12,intent,0.722183908045977,0.5
12,outcome,0.9398850574712643,0.5167785234899329
13,intent,0.7819540229885057,0.5
13,outcome,0.9633333333333333,0.5167785234899329
14,intent,0.8191954022988506,0.5
14,outcome,0.9399999999999998,0.5167785234899329
15,intent,0.8427586206896553,0.5
15,outcome,0.9400000000000001,0.5167785234899329
16,intent,0.7993103448275861,0.5
16,outcome,0.95,0.5167785234899329
17,intent,0.7963218390804597,0.5
17,outcome,0.9433333333333334,0.5167785234899329
18,intent,0.789655172413793,0.5
18,outcome,0.923103448275862,0.5167785234899329
19,intent,0.7427586206896553,0.5
19,outcome,0.9097701149425287,0.5167785234899329
20,intent,0.7255172413793104,0.5
20,outcome,0.9265517241379311,0.5167785234899329
21,intent,0.7422988505747128,0.5
21,outcome,0.9133333333333333,0.5167785234899329
22,intent,0.7290804597701148,0.5
22,outcome,0.8931034482758621,0.5167785234899329
23,intent,0.7157471264367816,0.5
23,outcome,0.8898850574712643,0.5167785234899329
24,intent,0.7257471264367815,0.5
24,outcome,0.8698850574712644,0.5167785234899329
25,intent,0.6856321839080459,0.5
25,outcome,0.8463218390804599,0.5167785234899329
26,intent,0.6920689655172414,0.5
26,outcome,0.863103448275862,0.5167785234899329
27,intent,0.7087356321839081,0.5
27,outcome,0.8262068965517242,0.5167785234899329
28,intent,0.7050574712643678,0.5
28,outcome,0.822528735632184,0.5167785234899329
29,intent,0.6719540229885057,0.5
29,outcome,0.812528735632184,0.5167785234899329
30,intent,0.6888505747126435,0.5
30,outcome,0.8189655172413793,0.5167785234899329
31,intent,0.6851724137931035,0.5
31,outcome,0.8358620689655172,0.5167785234899329
32,intent,0.6849425287356322,0.5
32,outcome,0.8257471264367817,0.5167785234899329
