layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.541,0.0538,0.5,144
2,intent_noharm,0.5129,0.0457,0.5,144
3,intent_noharm,0.5133,0.0267,0.5,144
4,intent_noharm,0.5471,0.0498,0.5,144
5,intent_noharm,0.5824,0.08,0.5,144
6,intent_noharm,0.5962,0.0792,0.5,144
7,intent_noharm,0.589,0.0728,0.5,144
8,intent_noharm,0.5486,0.0361,0.5,144
9,intent_noharm,0.6367,0.0843,0.5,144
10,intent_noharm,0.6195,0.0798,0.5,144
11,intent_noharm,0.7486,0.0825,0.5,144
12,intent_noharm,0.75,0.0607,0.5,144
13,intent_noharm,0.6595,0.0409,0.5,144
14,intent_noharm,0.7014,0.047,0.5,144
15,intent_noharm,0.7433,0.0505,0.5,144
16,intent_noharm,0.6667,0.0722,0.5,144
17,intent_noharm,0.651,0.0663,0.5,144
18,intent_noharm,0.6367,0.0746,0.5,144
19,intent_noharm,0.6714,0.1037,0.5,144
20,intent_noharm,0.6029,0.0603,0.5,144
21,intent_noharm,0.659,0.0451,0.5,144
22,intent_noharm,0.6995,0.0773,0.5,144
23,intent_noharm,0.7,0.0768,0.5,144
24,intent_noharm,0.67,0.1113,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.5262,0.0388,0.5,154
2,intent_harm,0.5512,0.0425,0.5,154
3,intent_harm,0.5437,0.0545,0.5,154
4,intent_harm,0.5058,0.0825,0.5,154
5,intent_harm,0.5633,0.0652,0.5,154
6,intent_harm,0.5375,0.0543,0.5,154
7,intent_harm,0.545,0.0255,0.5,154
8,intent_harm,0.5129,0.0384,0.5,154
9,intent_harm,0.5521,0.0764,0.5,154
10,intent_harm,0.5783,0.0399,0.5,154
11,intent_harm,0.6038,0.0642,0.5,154
12,intent_harm,0.6729,0.0822,0.5,154
13,intent_harm,0.6821,0.0613,0.5,154
14,intent_harm,0.6629,0.0685,0.5,154
15,intent_harm,0.6167,0.0645,0.5,154
16,intent_harm,0.6617,0.0464,0.5,154
17,intent_harm,0.6317,0.0679,0.5,154
18,intent_harm,0.6042,0.0422,0.5,154
19,intent_harm,0.6425,0.0974,0.5,154
20,intent_harm,0.6425,0.0462,0.5,154
21,intent_harm,0.6425,0.0589,0.5,154
22,intent_harm,0.5975,0.0396,0.5,154
23,intent_harm,0.5908,0.0662,0.5,154
24,intent_harm,0.6242,0.0348,0.5,154
0,outcome_innocent,0.5168,0.0149,0.5168,149
1,outcome_innocent,0.792,0.0247,0.5168,149
2,outcome_innocent,0.7995,0.0657,0.5168,149
3,outcome_innocent,0.7657,0.0618,0.5168,149
4,outcome_innocent,0.8064,0.0875,0.5168,149
5,outcome_innocent,0.9531,0.0266,0.5168,149
6,outcome_innocent,0.9131,0.0496,0.5168,149
7,outcome_innocent,0.9264,0.0532,0.5168,149
8,outcome_innocent,0.9598,0.0388,0.5168,149
9,outcome_innocent,0.9667,0.0422,0.5168,149
10,outcome_innocent,0.9533,0.0653,0.5168,149
11,outcome_innocent,0.98,0.04,0.5168,149
12,outcome_innocent,0.98,0.04,0.5168,149
13,outcome_innocent,0.9733,0.0389,0.5168,149
14,outcome_innocent,0.98,0.04,0.5168,149
15,outcome_innocent,0.98,0.04,0.5168,149
16,outcome_innocent,0.98,0.04,0.5168,149
17,outcome_innocent,0.98,0.04,0.5168,149
18,outcome_innocent,0.98,0.04,0.5168,149
19,outcome_innocent,0.98,0.04,0.5168,149
20,outcome_innocent,0.98,0.04,0.5168,149
21,outcome_innocent,0.9667,0.0422,0.5168,149
22,outcome_innocent,0.98,0.04,0.5168,149
23,outcome_innocent,0.9731,0.0389,0.5168,149
24,outcome_innocent,0.9731,0.0389,0.5168,149
0,outcome_guilty,0.5168,0.0149,0.5168,149
1,outcome_guilty,0.8193,0.0531,0.5168,149
2,outcome_guilty,0.7995,0.069,0.5168,149
3,outcome_guilty,0.8329,0.055,0.5168,149
4,outcome_guilty,0.8195,0.0997,0.5168,149
5,outcome_guilty,0.9126,0.0454,0.5168,149
6,outcome_guilty,0.8664,0.0892,0.5168,149
7,outcome_guilty,0.8998,0.0418,0.5168,149
8,outcome_guilty,0.9598,0.0388,0.5168,149
9,outcome_guilty,0.9733,0.0389,0.5168,149
10,outcome_guilty,0.9464,0.0618,0.5168,149
11,outcome_guilty,0.98,0.04,0.5168,149
12,outcome_guilty,0.98,0.04,0.5168,149
13,outcome_guilty,0.9733,0.0389,0.5168,149
14,outcome_guilty,0.98,0.0267,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,0.9867,0.0267,0.5168,149
17,outcome_guilty,0.98,0.04,0.5168,149
18,outcome_guilty,0.98,0.04,0.5168,149
19,outcome_guilty,0.98,0.04,0.5168,149
20,outcome_guilty,0.98,0.04,0.5168,149
21,outcome_guilty,0.98,0.04,0.5168,149
22,outcome_guilty,0.96,0.0533,0.5168,149
23,outcome_guilty,0.96,0.0533,0.5168,149
24,outcome_guilty,0.9531,0.0498,0.5168,149
