layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.5429,0.0857,0.5,144
2,intent_noharm,0.5129,0.0457,0.5,144
3,intent_noharm,0.52,0.04,0.5,144
4,intent_noharm,0.5767,0.0574,0.5,144
5,intent_noharm,0.6167,0.0484,0.5,144
6,intent_noharm,0.6186,0.0432,0.5,144
7,intent_noharm,0.6243,0.038,0.5,144
8,intent_noharm,0.5981,0.0479,0.5,144
9,intent_noharm,0.6119,0.0365,0.5,144
10,intent_noharm,0.6052,0.0724,0.5,144
11,intent_noharm,0.779,0.06,0.5,144
12,intent_noharm,0.7443,0.0982,0.5,144
13,intent_noharm,0.6967,0.0892,0.5,144
14,intent_noharm,0.7219,0.0583,0.5,144
15,intent_noharm,0.7643,0.0496,0.5,144
16,intent_noharm,0.7348,0.0486,0.5,144
17,intent_noharm,0.6929,0.0734,0.5,144
18,intent_noharm,0.6519,0.0443,0.5,144
19,intent_noharm,0.6595,0.0255,0.5,144
20,intent_noharm,0.6929,0.0751,0.5,144
21,intent_noharm,0.6519,0.0622,0.5,144
22,intent_noharm,0.6881,0.0314,0.5,144
23,intent_noharm,0.6729,0.0646,0.5,144
24,intent_noharm,0.68,0.0744,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.5646,0.0463,0.5,154
2,intent_harm,0.505,0.0515,0.5,154
3,intent_harm,0.5321,0.0198,0.5,154
4,intent_harm,0.525,0.0421,0.5,154
5,intent_harm,0.545,0.042,0.5,154
6,intent_harm,0.5454,0.0337,0.5,154
7,intent_harm,0.5379,0.0505,0.5,154
8,intent_harm,0.5392,0.0252,0.5,154
9,intent_harm,0.5842,0.0386,0.5,154
10,intent_harm,0.6038,0.079,0.5,154
11,intent_harm,0.6238,0.0625,0.5,154
12,intent_harm,0.6163,0.0222,0.5,154
13,intent_harm,0.6433,0.0691,0.5,154
14,intent_harm,0.635,0.0563,0.5,154
15,intent_harm,0.6167,0.0645,0.5,154
16,intent_harm,0.6229,0.0367,0.5,154
17,intent_harm,0.6171,0.0343,0.5,154
18,intent_harm,0.6108,0.0779,0.5,154
19,intent_harm,0.6362,0.0236,0.5,154
20,intent_harm,0.6367,0.0534,0.5,154
21,intent_harm,0.6421,0.0743,0.5,154
22,intent_harm,0.6233,0.0854,0.5,154
23,intent_harm,0.5846,0.0165,0.5,154
24,intent_harm,0.5971,0.0336,0.5,154
0,outcome_innocent,0.5168,0.0149,0.5168,149
1,outcome_innocent,0.8126,0.0531,0.5168,149
2,outcome_innocent,0.7929,0.0703,0.5168,149
3,outcome_innocent,0.7798,0.0998,0.5168,149
4,outcome_innocent,0.8331,0.084,0.5168,149
5,outcome_innocent,0.9526,0.0409,0.5168,149
6,outcome_innocent,0.9264,0.0386,0.5168,149
7,outcome_innocent,0.9264,0.0488,0.5168,149
8,outcome_innocent,0.9664,0.0516,0.5168,149
9,outcome_innocent,0.9731,0.0389,0.5168,149
10,outcome_innocent,0.9731,0.0389,0.5168,149
11,outcome_innocent,0.98,0.04,0.5168,149
12,outcome_innocent,0.9933,0.0133,0.5168,149
13,outcome_innocent,0.9933,0.0133,0.5168,149
14,outcome_innocent,0.9933,0.0133,0.5168,149
15,outcome_innocent,0.9933,0.0133,0.5168,149
16,outcome_innocent,0.9933,0.0133,0.5168,149
17,outcome_innocent,0.9933,0.0133,0.5168,149
18,outcome_innocent,0.9933,0.0133,0.5168,149
19,outcome_innocent,0.9933,0.0133,0.5168,149
20,outcome_innocent,0.9933,0.0133,0.5168,149
21,outcome_innocent,0.9933,0.0133,0.5168,149
22,outcome_innocent,0.98,0.04,0.5168,149
23,outcome_innocent,0.9731,0.0389,0.5168,149
24,outcome_innocent,0.9795,0.0275,0.5168,149
0,outcome_guilty,0.5168,0.0149,0.5168,149
1,outcome_guilty,0.8195,0.061,0.5168,149
2,outcome_guilty,0.7995,0.0657,0.5168,149
3,outcome_guilty,0.7929,0.0703,0.5168,149
4,outcome_guilty,0.8331,0.0916,0.5168,149
5,outcome_guilty,0.906,0.039,0.5168,149
6,outcome_guilty,0.8731,0.0643,0.5168,149
7,outcome_guilty,0.8798,0.0683,0.5168,149
8,outcome_guilty,0.9398,0.0441,0.5168,149
9,outcome_guilty,0.9731,0.0389,0.5168,149
10,outcome_guilty,0.9598,0.0388,0.5168,149
11,outcome_guilty,0.98,0.04,0.5168,149
12,outcome_guilty,0.9933,0.0133,0.5168,149
13,outcome_guilty,0.98,0.04,0.5168,149
14,outcome_guilty,0.98,0.04,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,0.9933,0.0133,0.5168,149
17,outcome_guilty,0.9933,0.0133,0.5168,149
18,outcome_guilty,0.9933,0.0133,0.5168,149
19,outcome_guilty,0.9933,0.0133,0.5168,149
20,outcome_guilty,0.98,0.04,0.5168,149
21,outcome_guilty,0.98,0.0267,0.5168,149
22,outcome_guilty,0.96,0.0533,0.5168,149
23,outcome_guilty,0.9464,0.0748,0.5168,149
24,outcome_guilty,0.9462,0.05,0.5168,149
