layer,target,cv_acc,chance
0,intent,0.5017543859649123,0.501779359430605
0,outcome,0.5017543859649123,0.501779359430605
1,intent,0.5479323308270676,0.501779359430605
1,outcome,0.5585213032581453,0.501779359430605
2,intent,0.5515664160401001,0.501779359430605
2,outcome,0.5765037593984962,0.501779359430605
3,intent,0.587155388471178,0.501779359430605
3,outcome,0.5974310776942356,0.501779359430605
4,intent,0.5516290726817042,0.501779359430605
4,outcome,0.5867794486215538,0.501779359430605
5,intent,0.5694862155388472,0.501779359430605
5,outcome,0.6869047619047619,0.501779359430605
6,intent,0.5838345864661655,0.501779359430605
6,outcome,0.6226817042606516,0.501779359430605
7,intent,0.6193609022556391,0.501779359430605
7,outcome,0.5622807017543859,0.501779359430605
8,intent,0.612218045112782,0.501779359430605
8,outcome,0.5550751879699248,0.501779359430605
9,intent,0.5978070175438597,0.501779359430605
9,outcome,0.569486215538847,0.501779359430605
10,intent,0.6835213032581453,0.501779359430605
10,outcome,0.5802631578947369,0.501779359430605
11,intent,0.7117167919799499,0.501779359430605
11,outcome,0.6547619047619048,0.501779359430605
12,intent,0.7512531328320803,0.501779359430605
12,outcome,0.6333959899749373,0.501779359430605
13,intent,0.7368421052631579,0.501779359430605
13,outcome,0.6336466165413535,0.501779359430605
14,intent,0.7617794486215537,0.501779359430605
14,outcome,0.6407894736842106,0.501779359430605
15,intent,0.7541979949874686,0.501779359430605
15,outcome,0.6511904761904761,0.501779359430605
16,intent,0.7510025062656641,0.501779359430605
16,outcome,0.7013784461152882,0.501779359430605
17,intent,0.8077694235588974,0.501779359430605
17,outcome,0.6585213032581454,0.501779359430605
18,intent,0.7971804511278195,0.501779359430605
18,outcome,0.7259398496240601,0.501779359430605
19,intent,0.7758771929824562,0.501779359430605
19,outcome,0.7330827067669172,0.501779359430605
20,intent,0.7046992481203007,0.501779359430605
20,outcome,0.7258145363408521,0.501779359430605
21,intent,0.7546365914786967,0.501779359430605
21,outcome,0.7474310776942357,0.501779359430605
22,intent,0.7510025062656643,0.501779359430605
22,outcome,0.7508771929824561,0.501779359430605
23,intent,0.7366541353383459,0.501779359430605
23,outcome,0.694047619047619,0.501779359430605
24,intent,0.7401629072681704,0.501779359430605
24,outcome,0.7119047619047618,0.501779359430605
25,intent,0.7578947368421053,0.501779359430605
25,outcome,0.7046992481203008,0.501779359430605
26,intent,0.7755012531328321,0.501779359430605
26,outcome,0.7296365914786967,0.501779359430605
27,intent,0.7684210526315789,0.501779359430605
27,outcome,0.718922305764411,0.501779359430605
28,intent,0.7652255639097745,0.501779359430605
28,outcome,0.6833333333333333,0.501779359430605
