layer,target,cv_acc,chance
0,intent,0.5017543859649123,0.501779359430605
0,outcome,0.5017543859649123,0.501779359430605
1,intent,0.544360902255639,0.501779359430605
1,outcome,0.5657268170426064,0.501779359430605
2,intent,0.5409774436090226,0.501779359430605
2,outcome,0.5623433583959899,0.501779359430605
3,intent,0.5871553884711778,0.501779359430605
3,outcome,0.5795112781954888,0.501779359430605
4,intent,0.5481203007518797,0.501779359430605
4,outcome,0.5902255639097744,0.501779359430605
5,intent,0.5409147869674186,0.501779359430605
5,outcome,0.5906641604010024,0.501779359430605
6,intent,0.569423558897243,0.501779359430605
6,outcome,0.6012531328320803,0.501779359430605
7,intent,0.5944235588972432,0.501779359430605
7,outcome,0.5838345864661654,0.501779359430605
8,intent,0.6654135338345865,0.501779359430605
8,outcome,0.5798245614035089,0.501779359430605
9,intent,0.6083959899749374,0.501779359430605
9,outcome,0.537531328320802,0.501779359430605
10,intent,0.6833959899749373,0.501779359430605
10,outcome,0.544360902255639,0.501779359430605
11,intent,0.7078947368421052,0.501779359430605
11,outcome,0.6228070175438596,0.501779359430605
12,intent,0.6835839598997493,0.501779359430605
12,outcome,0.6052005012531328,0.501779359430605
13,intent,0.6798872180451129,0.501779359430605
13,outcome,0.6085839598997493,0.501779359430605
14,intent,0.7013157894736841,0.501779359430605
14,outcome,0.6050751879699249,0.501779359430605
15,intent,0.7153508771929825,0.501779359430605
15,outcome,0.6763157894736842,0.501779359430605
16,intent,0.7045112781954888,0.501779359430605
16,outcome,0.6907894736842105,0.501779359430605
17,intent,0.719110275689223,0.501779359430605
17,outcome,0.7119674185463659,0.501779359430605
18,intent,0.7546992481203009,0.501779359430605
18,outcome,0.7116541353383459,0.501779359430605
19,intent,0.7476817042606516,0.501779359430605
19,outcome,0.7221804511278196,0.501779359430605
20,intent,0.6906641604010025,0.501779359430605
20,outcome,0.6903508771929824,0.501779359430605
21,intent,0.7473684210526315,0.501779359430605
21,outcome,0.6903508771929824,0.501779359430605
22,intent,0.7369674185463659,0.501779359430605
22,outcome,0.6974937343358396,0.501779359430605
23,intent,0.7295739348370928,0.501779359430605
23,outcome,0.6405388471177945,0.501779359430605
24,intent,0.7295112781954887,0.501779359430605
24,outcome,0.6975563909774436,0.501779359430605
25,intent,0.7510025062656642,0.501779359430605
25,outcome,0.7083333333333334,0.501779359430605
26,intent,0.7649122807017544,0.501779359430605
26,outcome,0.6974937343358396,0.501779359430605
27,intent,0.7367167919799499,0.501779359430605
27,outcome,0.7083333333333333,0.501779359430605
28,intent,0.7332706766917293,0.501779359430605
28,outcome,0.6975563909774436,0.501779359430605
