layer,target,cv_acc,chance
0,intent,0.5017543859649123,0.501779359430605
0,outcome,0.5017543859649123,0.501779359430605
1,intent,0.5584586466165413,0.501779359430605
1,outcome,0.5658521303258145,0.501779359430605
2,intent,0.5728696741854636,0.501779359430605
2,outcome,0.5800751879699247,0.501779359430605
3,intent,0.5834586466165413,0.501779359430605
3,outcome,0.5835839598997493,0.501779359430605
4,intent,0.6225563909774436,0.501779359430605
4,outcome,0.5767543859649124,0.501779359430605
5,intent,0.6902255639097744,0.501779359430605
5,outcome,0.587218045112782,0.501779359430605
6,intent,0.775187969924812,0.501779359430605
6,outcome,0.6050125313283208,0.501779359430605
7,intent,0.7116541353383459,0.501779359430605
7,outcome,0.6014411027568922,0.501779359430605
8,intent,0.6724310776942357,0.501779359430605
8,outcome,0.6263157894736843,0.501779359430605
9,intent,0.7151629072681704,0.501779359430605
9,outcome,0.6296992481203008,0.501779359430605
10,intent,0.7080200501253133,0.501779359430605
10,outcome,0.6191102756892232,0.501779359430605
11,intent,0.7580827067669172,0.501779359430605
11,outcome,0.6337092731829574,0.501779359430605
12,intent,0.768922305764411,0.501779359430605
12,outcome,0.6439849624060151,0.501779359430605
13,intent,0.7581453634085213,0.501779359430605
13,outcome,0.6727443609022556,0.501779359430605
14,intent,0.8253132832080201,0.501779359430605
14,outcome,0.7151002506265663,0.501779359430605
15,intent,0.8468045112781954,0.501779359430605
15,outcome,0.6791353383458646,0.501779359430605
16,intent,0.8964912280701753,0.501779359430605
16,outcome,0.6936090225563909,0.501779359430605
17,intent,0.9073308270676691,0.501779359430605
17,outcome,0.700751879699248,0.501779359430605
18,intent,0.9215538847117795,0.501779359430605
18,outcome,0.719047619047619,0.501779359430605
19,intent,0.9072055137844611,0.501779359430605
19,outcome,0.743734335839599,0.501779359430605
20,intent,0.8822681704260653,0.501779359430605
20,outcome,0.7544486215538846,0.501779359430605
21,intent,0.8644110275689224,0.501779359430605
21,outcome,0.7471804511278195,0.501779359430605
22,intent,0.8714912280701755,0.501779359430605
22,outcome,0.7259398496240601,0.501779359430605
23,intent,0.8536340852130326,0.501779359430605
23,outcome,0.7367167919799499,0.501779359430605
24,intent,0.8394110275689224,0.501779359430605
24,outcome,0.7402882205513784,0.501779359430605
25,intent,0.8465538847117793,0.501779359430605
25,outcome,0.7615914786967417,0.501779359430605
26,intent,0.8359022556390977,0.501779359430605
26,outcome,0.7722431077694235,0.501779359430605
27,intent,0.8395989974937343,0.501779359430605
27,outcome,0.7508771929824561,0.501779359430605
28,intent,0.8075814536340852,0.501779359430605
28,outcome,0.7258145363408521,0.501779359430605
