layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.5414,0.0508,0.5,144
2,intent_noharm,0.4924,0.0508,0.5,144
3,intent_noharm,0.549,0.0424,0.5,144
4,intent_noharm,0.5962,0.0369,0.5,144
5,intent_noharm,0.5776,0.0476,0.5,144
6,intent_noharm,0.6448,0.0648,0.5,144
7,intent_noharm,0.6714,0.0948,0.5,144
8,intent_noharm,0.6519,0.0428,0.5,144
9,intent_noharm,0.6529,0.0482,0.5,144
10,intent_noharm,0.701,0.0499,0.5,144
11,intent_noharm,0.769,0.0541,0.5,144
12,intent_noharm,0.7776,0.0285,0.5,144
13,intent_noharm,0.8119,0.0475,0.5,144
14,intent_noharm,0.8481,0.068,0.5,144
15,intent_noharm,0.8338,0.0665,0.5,144
16,intent_noharm,0.8671,0.0736,0.5,144
17,intent_noharm,0.8876,0.0623,0.5,144
18,intent_noharm,0.9295,0.0505,0.5,144
19,intent_noharm,0.9152,0.0537,0.5,144
20,intent_noharm,0.8667,0.0862,0.5,144
21,intent_noharm,0.8533,0.074,0.5,144
22,intent_noharm,0.8133,0.074,0.5,144
23,intent_noharm,0.8124,0.0469,0.5,144
24,intent_noharm,0.7914,0.045,0.5,144
25,intent_noharm,0.82,0.0373,0.5,144
26,intent_noharm,0.8057,0.0339,0.5,144
27,intent_noharm,0.8057,0.0339,0.5,144
28,intent_noharm,0.8071,0.0801,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.5892,0.0748,0.5,154
2,intent_harm,0.5629,0.0654,0.5,154
3,intent_harm,0.5521,0.034,0.5,154
4,intent_harm,0.5642,0.0396,0.5,154
5,intent_harm,0.5842,0.0386,0.5,154
6,intent_harm,0.6608,0.1355,0.5,154
7,intent_harm,0.5983,0.0738,0.5,154
8,intent_harm,0.5979,0.0374,0.5,154
9,intent_harm,0.6096,0.0298,0.5,154
10,intent_harm,0.6754,0.0338,0.5,154
11,intent_harm,0.6425,0.0239,0.5,154
12,intent_harm,0.6108,0.0403,0.5,154
13,intent_harm,0.7421,0.0594,0.5,154
14,intent_harm,0.7217,0.0581,0.5,154
15,intent_harm,0.7854,0.1198,0.5,154
16,intent_harm,0.8375,0.0686,0.5,154
17,intent_harm,0.895,0.0452,0.5,154
18,intent_harm,0.8758,0.0654,0.5,154
19,intent_harm,0.8575,0.0462,0.5,154
20,intent_harm,0.8117,0.0641,0.5,154
21,intent_harm,0.8246,0.059,0.5,154
22,intent_harm,0.7867,0.0891,0.5,154
23,intent_harm,0.7158,0.0705,0.5,154
24,intent_harm,0.7412,0.0621,0.5,154
25,intent_harm,0.7137,0.1041,0.5,154
26,intent_harm,0.6821,0.0596,0.5,154
27,intent_harm,0.6879,0.1021,0.5,154
28,intent_harm,0.6483,0.0959,0.5,154
0,outcome_innocent,0.5168,0.0149,0.5168,149
1,outcome_innocent,0.8395,0.0924,0.5168,149
2,outcome_innocent,0.88,0.0748,0.5168,149
3,outcome_innocent,0.8733,0.0998,0.5168,149
4,outcome_innocent,0.9733,0.0389,0.5168,149
5,outcome_innocent,0.9867,0.0163,0.5168,149
6,outcome_innocent,0.9933,0.0133,0.5168,149
7,outcome_innocent,0.9733,0.0249,0.5168,149
8,outcome_innocent,0.9933,0.0133,0.5168,149
9,outcome_innocent,0.9933,0.0133,0.5168,149
10,outcome_innocent,0.9933,0.0133,0.5168,149
11,outcome_innocent,0.9933,0.0133,0.5168,149
12,outcome_innocent,0.9933,0.0133,0.5168,149
13,outcome_innocent,0.9933,0.0133,0.5168,149
14,outcome_innocent,1.0,0.0,0.5168,149
15,outcome_innocent,1.0,0.0,0.5168,149
16,outcome_innocent,1.0,0.0,0.5168,149
17,outcome_innocent,1.0,0.0,0.5168,149
18,outcome_innocent,0.9933,0.0133,0.5168,149
19,outcome_innocent,1.0,0.0,0.5168,149
20,outcome_innocent,0.9933,0.0133,0.5168,149
21,outcome_innocent,0.9933,0.0133,0.5168,149
