layer,target,cv_acc,chance
0,intent,0.5231829573934836,0.501779359430605
0,outcome,0.49824561403508766,0.501779359430605
1,intent,0.6615288220551379,0.501779359430605
1,outcome,0.5731203007518797,0.501779359430605
2,intent,0.6401629072681704,0.501779359430605
2,outcome,0.5729949874686717,0.501779359430605
3,intent,0.643984962406015,0.501779359430605
3,outcome,0.5873433583959901,0.501779359430605
4,intent,0.7258145363408521,0.501779359430605
4,outcome,0.5870300751879698,0.501779359430605
5,intent,0.868233082706767,0.501779359430605
5,outcome,0.6228696741854637,0.501779359430605
6,intent,0.8646616541353384,0.501779359430605
6,outcome,0.6619047619047619,0.501779359430605
7,intent,0.8572681704260651,0.501779359430605
7,outcome,0.7046365914786967,0.501779359430605
8,intent,0.9392857142857143,0.501779359430605
8,outcome,0.6227443609022556,0.501779359430605
9,intent,0.9285714285714286,0.501779359430605
9,outcome,0.7047619047619047,0.501779359430605
10,intent,0.9357142857142857,0.501779359430605
10,outcome,0.7581453634085211,0.501779359430605
11,intent,0.9464285714285714,0.501779359430605
11,outcome,0.7154135338345865,0.501779359430605
12,intent,0.9357142857142857,0.501779359430605
12,outcome,0.7864035087719299,0.501779359430605
13,intent,0.9392857142857143,0.501779359430605
13,outcome,0.7971804511278195,0.501779359430605
14,intent,0.9464285714285714,0.501779359430605
14,outcome,0.7864661654135339,0.501779359430605
15,intent,0.9678571428571429,0.501779359430605
15,outcome,0.8362781954887218,0.501779359430605
16,intent,0.975,0.501779359430605
16,outcome,0.7721177944862155,0.501779359430605
17,intent,0.9678571428571429,0.501779359430605
17,outcome,0.843233082706767,0.501779359430605
18,intent,0.9678571428571429,0.501779359430605
18,outcome,0.8503759398496241,0.501779359430605
19,intent,0.9607142857142857,0.501779359430605
19,outcome,0.8253759398496241,0.501779359430605
20,intent,0.9607142857142857,0.501779359430605
20,outcome,0.8044486215538846,0.501779359430605
21,intent,0.9607142857142857,0.501779359430605
21,outcome,0.793796992481203,0.501779359430605
22,intent,0.9464285714285714,0.501779359430605
22,outcome,0.7972431077694235,0.501779359430605
23,intent,0.95,0.501779359430605
23,outcome,0.7651629072681704,0.501779359430605
24,intent,0.9394110275689223,0.501779359430605
24,outcome,0.7617794486215539,0.501779359430605
25,intent,0.9218671679197994,0.501779359430605
25,outcome,0.7757518796992482,0.501779359430605
26,intent,0.9254385964912281,0.501779359430605
26,outcome,0.7506265664160401,0.501779359430605
27,intent,0.8970551378446115,0.501779359430605
27,outcome,0.7258145363408521,0.501779359430605
28,intent,0.8827694235588973,0.501779359430605
28,outcome,0.668922305764411,0.501779359430605
