layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.5267,0.0661,0.5,144
2,intent_noharm,0.5133,0.0349,0.5,144
3,intent_noharm,0.5333,0.0648,0.5,144
4,intent_noharm,0.59,0.0637,0.5,144
5,intent_noharm,0.5767,0.0477,0.5,144
6,intent_noharm,0.6033,0.0358,0.5,144
7,intent_noharm,0.6367,0.0746,0.5,144
8,intent_noharm,0.6448,0.0465,0.5,144
9,intent_noharm,0.6538,0.0393,0.5,144
10,intent_noharm,0.7214,0.0623,0.5,144
11,intent_noharm,0.6933,0.0746,0.5,144
12,intent_noharm,0.749,0.0457,0.5,144
13,intent_noharm,0.7767,0.0567,0.5,144
14,intent_noharm,0.8462,0.0506,0.5,144
15,intent_noharm,0.8114,0.0561,0.5,144
16,intent_noharm,0.8181,0.0637,0.5,144
17,intent_noharm,0.8876,0.0429,0.5,144
18,intent_noharm,0.8805,0.0498,0.5,144
19,intent_noharm,0.8729,0.1077,0.5,144
20,intent_noharm,0.8448,0.0962,0.5,144
21,intent_noharm,0.8381,0.0932,0.5,144
22,intent_noharm,0.8105,0.083,0.5,144
23,intent_noharm,0.8105,0.1047,0.5,144
24,intent_noharm,0.8038,0.1019,0.5,144
25,intent_noharm,0.8119,0.1058,0.5,144
26,intent_noharm,0.8343,0.0887,0.5,144
27,intent_noharm,0.7438,0.0732,0.5,144
28,intent_noharm,0.7981,0.1057,0.5,144
0,intent_harm,0.5125,0.0153,0.5,154
1,intent_harm,0.55,0.074,0.5,154
2,intent_harm,0.57,0.0496,0.5,154
3,intent_harm,0.5837,0.0481,0.5,154
4,intent_harm,0.6096,0.046,0.5,154
5,intent_harm,0.5387,0.037,0.5,154
6,intent_harm,0.6421,0.0847,0.5,154
7,intent_harm,0.6375,0.0646,0.5,154
8,intent_harm,0.5842,0.0386,0.5,154
9,intent_harm,0.5837,0.0231,0.5,154
10,intent_harm,0.6954,0.0388,0.5,154
11,intent_harm,0.7062,0.0606,0.5,154
12,intent_harm,0.6887,0.0454,0.5,154
13,intent_harm,0.6979,0.0991,0.5,154
14,intent_harm,0.7475,0.0307,0.5,154
15,intent_harm,0.825,0.0548,0.5,154
16,intent_harm,0.8058,0.0601,0.5,154
17,intent_harm,0.8325,0.0469,0.5,154
18,intent_harm,0.7671,0.0375,0.5,154
19,intent_harm,0.7746,0.083,0.5,154
20,intent_harm,0.825,0.067,0.5,154
21,intent_harm,0.7921,0.0452,0.5,154
22,intent_harm,0.8042,0.0652,0.5,154
23,intent_harm,0.7213,0.0781,0.5,154
24,intent_harm,0.6942,0.0428,0.5,154
25,intent_harm,0.6804,0.0794,0.5,154
26,intent_harm,0.7004,0.1132,0.5,154
27,intent_harm,0.6746,0.0845,0.5,154
28,intent_harm,0.6483,0.0495,0.5,154
0,outcome_innocent,0.5168,0.0149,0.5168,149
1,outcome_innocent,0.8193,0.0853,0.5168,149
2,outcome_innocent,0.8933,0.0573,0.5168,149
3,outcome_innocent,0.8867,0.0833,0.5168,149
4,outcome_innocent,0.98,0.0267,0.5168,149
5,outcome_innocent,0.9867,0.0163,0.5168,149
6,outcome_innocent,0.98,0.0267,0.5168,149
7,outcome_innocent,0.98,0.0267,0.5168,149
8,outcome_innocent,0.9933,0.0133,0.5168,149
9,outcome_innocent,0.9933,0.0133,0.5168,149
10,outcome_innocent,0.9933,0.0133,0.5168,149
11,outcome_innocent,0.9933,0.0133,0.5168,149
12,outcome_innocent,0.9933,0.0133,0.5168,149
13,outcome_innocent,0.9933,0.0133,0.5168,149
14,outcome_innocent,0.9933,0.0133,0.5168,149
15,outcome_innocent,0.9933,0.0133,0.5168,149
16,outcome_innocent,1.0,0.0,0.5168,149
17,outcome_innocent,1.0,0.0,0.5168,149
18,outcome_innocent,1.0,0.0,0.5168,149
19,outcome_innocent,1.0,0.0,0.5168,149
20,outcome_innocent,1.0,0.0,0.5168,149
21,outcome_innocent,1.0,0.0,0.5168,149
22,outcome_innocent,1.0,0.0,0.5168,149
23,outcome_innocent,1.0,0.0,0.5168,149
24,outcome_innocent,1.0,0.0,0.5168,149
25,outcome_innocent,1.0,0.0,0.5168,149
26,outcome_innocent,0.9933,0.0133,0.5168,149
27,outcome_innocent,1.0,0.0,0.5168,149
28,outcome_innocent,0.9933,0.0133,0.5168,149
0,outcome_guilty,0.5168,0.0149,0.5168,149
1,outcome_guilty,0.8462,0.0953,0.5168,149
2,outcome_guilty,0.8733,0.0772,0.5168,149
3,outcome_guilty,0.9,0.0943,0.5168,149
4,outcome_guilty,0.9667,0.0422,0.5168,149
5,outcome_guilty,0.9733,0.0249,0.5168,149
6,outcome_guilty,0.9733,0.0249,0.5168,149
7,outcome_guilty,0.9733,0.0249,0.5168,149
8,outcome_guilty,0.9933,0.0133,0.5168,149
9,outcome_guilty,0.9867,0.0163,0.5168,149
10,outcome_guilty,0.9933,0.0133,0.5168,149
11,outcome_guilty,0.9933,0.0133,0.5168,149
12,outcome_guilty,0.9933,0.0133,0.5168,149
13,outcome_guilty,0.9933,0.0133,0.5168,149
14,outcome_guilty,0.9933,0.0133,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,1.0,0.0,0.5168,149
17,outcome_guilty,1.0,0.0,0.5168,149
18,outcome_guilty,1.0,0.0,0.5168,149
19,outcome_guilty,1.0,0.0,0.5168,149
20,outcome_guilty,1.0,0.0,0.5168,149
21,outcome_guilty,0.9867,0.0267,0.5168,149
22,outcome_guilty,1.0,0.0,0.5168,149
