model,target,acc_layer0,acc_peak,peak_layer,n_layers,peak_layer_frac,chance,layer0_frac_of_peak,layer0_above_chance
OLMo-2-1124-7B-Instruct,intent,0.5068,0.8463,16,33,0.5,0.5,0.599,0.0068
OLMo-2-1124-7B-Instruct,outcome,0.5168,1.0,17,33,0.531,0.5168,0.517,0.0
OLMo-2-1124-7B,intent,0.5068,0.8526,16,33,0.5,0.5,0.594,0.0068
OLMo-2-1124-7B,outcome,0.5168,1.0,13,33,0.406,0.5168,0.517,0.0
Qwen2.5-0.5B-Instruct,intent,0.5068,0.7016,21,25,0.875,0.5,0.722,0.0068
Qwen2.5-0.5B-Instruct,outcome,0.5168,0.9833,16,25,0.667,0.5168,0.526,0.0
Qwen2.5-0.5B,intent,0.5068,0.7049,12,25,0.5,0.5,0.719,0.0068
Qwen2.5-0.5B,outcome,0.5168,0.9933,15,25,0.625,0.5168,0.52,0.0
Qwen2.5-1.5B-Instruct,intent,0.5068,0.7555,23,29,0.821,0.5,0.671,0.0068
Qwen2.5-1.5B-Instruct,outcome,0.5168,1.0,17,29,0.607,0.5168,0.517,0.0
Qwen2.5-1.5B,intent,0.5068,0.7586,13,29,0.464,0.5,0.668,0.0068
Qwen2.5-1.5B,outcome,0.5168,1.0,17,29,0.607,0.5168,0.517,0.0
Qwen2.5-7B-Instruct,intent,0.5068,0.8863,19,29,0.679,0.5,0.572,0.0068
Qwen2.5-7B-Instruct,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0
Qwen2.5-7B,intent,0.5068,0.8559,19,29,0.679,0.5,0.592,0.0068
Qwen2.5-7B,outcome,0.5168,1.0,16,29,0.571,0.5168,0.517,0.0
