model,pooling,target,acc_layer0,sd,chance
OLMo-2-1124-7B-Instruct,last,intent,0.5068,0.0083,0.5
OLMo-2-1124-7B-Instruct,last,outcome,0.5168,0.0149,0.5168
OLMo-2-1124-7B-Instruct,mean,intent,0.5367,0.0386,0.5
OLMo-2-1124-7B-Instruct,mean,outcome,0.786,0.0707,0.5168
OLMo-2-1124-7B,last,intent,0.5068,0.0083,0.5
OLMo-2-1124-7B,last,outcome,0.5168,0.0149,0.5168
OLMo-2-1124-7B,mean,intent,0.5333,0.035,0.5
OLMo-2-1124-7B,mean,outcome,0.786,0.0707,0.5168
Qwen2.5-0.5B-Instruct,last,intent,0.5068,0.0083,0.5
Qwen2.5-0.5B-Instruct,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-0.5B-Instruct,mean,intent,0.5505,0.0154,0.5
Qwen2.5-0.5B-Instruct,mean,outcome,0.7082,0.0297,0.5168
Qwen2.5-0.5B,last,intent,0.5068,0.0083,0.5
Qwen2.5-0.5B,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-0.5B,mean,intent,0.5538,0.0248,0.5
Qwen2.5-0.5B,mean,outcome,0.7115,0.0347,0.5168
Qwen2.5-1.5B-Instruct,last,intent,0.5068,0.0083,0.5
Qwen2.5-1.5B-Instruct,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-1.5B-Instruct,mean,intent,0.5605,0.0172,0.5
Qwen2.5-1.5B-Instruct,mean,outcome,0.7847,0.0699,0.5168
Qwen2.5-1.5B,last,intent,0.5068,0.0083,0.5
Qwen2.5-1.5B,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-1.5B,mean,intent,0.5536,0.0192,0.5
Qwen2.5-1.5B,mean,outcome,0.7916,0.0633,0.5168
Qwen2.5-7B-Instruct,last,intent,0.5068,0.0083,0.5
Qwen2.5-7B-Instruct,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-7B-Instruct,mean,intent,0.5405,0.0232,0.5
Qwen2.5-7B-Instruct,mean,outcome,0.7926,0.0825,0.5168
Qwen2.5-7B,last,intent,0.5068,0.0083,0.5
Qwen2.5-7B,last,outcome,0.5168,0.0149,0.5168
Qwen2.5-7B,mean,intent,0.5371,0.0227,0.5
Qwen2.5-7B,mean,outcome,0.7926,0.0825,0.5168
