direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_dom,-0.3,False,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0737
intent_dom,-0.3,False,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0737
intent_dom,-0.3,False,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0737
intent_dom,-0.3,False,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0737
intent_dom,-0.3,False,24,downstream,intent,0.8926,0.5,-0.3926,-2.8265,0.5266,-0.0737
intent_dom,-0.3,False,24,downstream,outcome,0.9966,0.9765,-0.0201,0.0119,0.5562,-0.0737
intent_dom,-0.3,False,32,final layer,intent,0.8624,0.5,-0.3624,-2.6381,0.6513,-0.0737
intent_dom,-0.3,False,32,final layer,outcome,0.9899,0.9631,-0.0268,-0.0787,0.5962,-0.0737
intent_dom,-0.2,False,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0317
intent_dom,-0.2,False,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0317
intent_dom,-0.2,False,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0317
intent_dom,-0.2,False,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0317
intent_dom,-0.2,False,24,downstream,intent,0.8926,0.5034,-0.3893,-2.0348,0.7265,-0.0317
intent_dom,-0.2,False,24,downstream,outcome,0.9966,0.9933,-0.0034,0.0347,0.7295,-0.0317
intent_dom,-0.2,False,32,final layer,intent,0.8624,0.5101,-0.3523,-2.0127,0.7753,-0.0317
intent_dom,-0.2,False,32,final layer,outcome,0.9899,0.9832,-0.0067,-0.04,0.7321,-0.0317
intent_dom,-0.15,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0384
intent_dom,-0.15,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0384
intent_dom,-0.15,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0384
intent_dom,-0.15,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0384
intent_dom,-0.15,True,24,downstream,intent,0.8926,0.5201,-0.3725,-1.5898,0.794,-0.0384
intent_dom,-0.15,True,24,downstream,outcome,0.9966,0.9933,-0.0034,0.0117,0.8256,-0.0384
intent_dom,-0.15,True,32,final layer,intent,0.8624,0.5268,-0.3356,-1.5461,0.8241,-0.0384
intent_dom,-0.15,True,32,final layer,outcome,0.9899,0.9899,0.0,-0.011,0.8565,-0.0384
intent_dom,-0.1,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0245
intent_dom,-0.1,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0245
intent_dom,-0.1,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0245
intent_dom,-0.1,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0245
intent_dom,-0.1,True,24,downstream,intent,0.8926,0.6107,-0.2819,-1.1138,0.915,-0.0245
intent_dom,-0.1,True,24,downstream,outcome,0.9966,0.9966,0.0,0.0124,0.9292,-0.0245
intent_dom,-0.1,True,32,final layer,intent,0.8624,0.6342,-0.2282,-1.0609,0.9487,-0.0245
intent_dom,-0.1,True,32,final layer,outcome,0.9899,0.9933,0.0034,-0.0175,0.958,-0.0245
intent_dom,-0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0144
intent_dom,-0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0144
intent_dom,-0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0144
intent_dom,-0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0144
intent_dom,-0.05,True,24,downstream,intent,0.8926,0.8221,-0.0705,-0.5036,0.9887,-0.0144
intent_dom,-0.05,True,24,downstream,outcome,0.9966,0.9966,0.0,-0.0257,0.9949,-0.0144
intent_dom,-0.05,True,32,final layer,intent,0.8624,0.7919,-0.0705,-0.4615,0.9876,-0.0144
