direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
baseline,0.0,-0.4452,0.0,10.857,1.0,0.0,0.0,0.0,1.0,0.0,True,0.1186,0.7611,0.3096,0.7395
intent_dom,-0.3,-0.5189,-0.0737,20.573,1.895,0.0,0.0,0.0,1.0,0.0,False,0.2126,0.8023,0.2897,0.7856
intent_dom,-0.2,-0.477,-0.0317,20.026,1.845,0.0,0.0,0.0,1.0,0.0,False,0.1061,0.7119,0.2314,0.6971
intent_dom,-0.15,-0.4836,-0.0384,13.016,1.199,0.0,0.0,0.0,1.0,0.0,True,0.0694,0.7037,0.2139,0.6857
intent_dom,-0.1,-0.4697,-0.0245,11.572,1.066,0.0,0.0,0.0,1.0,0.0,True,0.0809,0.7239,0.2495,0.7055
intent_dom,-0.05,-0.4596,-0.0144,10.778,0.993,0.0,0.0,0.0,1.0,0.0,True,0.101,0.7503,0.2859,0.7293
intent_dom,-0.025,-0.4528,-0.0076,10.806,0.995,0.0,0.0,0.0,1.0,0.0,True,0.1096,0.7552,0.2967,0.7336
intent_dom,0.025,-0.4362,0.0091,10.899,1.004,0.0,0.0,0.0,1.0,0.0,True,0.1285,0.7676,0.3246,0.7461
intent_dom,0.05,-0.426,0.0192,10.952,1.009,0.0,0.0,0.0,1.0,0.0,True,0.1412,0.7754,0.3425,0.7537
intent_dom,0.1,-0.3998,0.0454,12.516,1.153,0.0,0.0,0.0,1.0,0.0,True,0.1783,0.7936,0.388,0.7714
intent_dom,0.15,-0.3932,0.052,13.341,1.229,0.0,0.0,0.0,1.0,0.0,True,0.2017,0.7987,0.3991,0.7691
intent_dom,0.2,-0.3644,0.0808,13.648,1.257,0.0,0.0,0.0,1.0,0.0,True,0.2779,0.8298,0.4608,0.8008
intent_dom,0.3,-0.26,0.1852,21.671,1.996,0.0,0.0,0.0,1.0,0.0,False,0.5536,0.9102,0.6523,0.8887
outcome_dom,-0.3,-0.3326,0.1126,22.342,2.058,0.0,0.0,0.0,1.0,0.0,False,0.066,0.4303,0.1192,0.4356
outcome_dom,-0.2,-0.3004,0.1448,15.725,1.448,0.0,0.0,0.0,1.0,0.0,True,0.0679,0.464,0.1678,0.4663
outcome_dom,-0.15,-0.3449,0.1003,13.607,1.253,0.0,0.0,0.0,1.0,0.0,True,0.0448,0.4836,0.1318,0.4657
outcome_dom,-0.1,-0.4196,0.0256,12.643,1.165,0.0,0.0,0.0,1.0,0.0,True,0.0597,0.6021,0.177,0.5896
outcome_dom,-0.05,-0.4403,0.0049,10.885,1.003,0.0,0.0,0.0,1.0,0.0,True,0.0843,0.6873,0.2404,0.6696
outcome_dom,-0.025,-0.447,-0.0018,10.865,1.001,0.0,0.0,0.0,1.0,0.0,True,0.0995,0.7245,0.2708,0.7046
outcome_dom,0.025,-0.4288,0.0164,10.858,1.0,0.0,0.0,0.0,1.0,0.0,True,0.1444,0.7967,0.3622,0.7737
outcome_dom,0.05,-0.4031,0.0421,10.875,1.002,0.0,0.0,0.0,1.0,0.0,True,0.1813,0.8309,0.4231,0.8072
