direction,alpha,contrast,dcontrast,ppl,ppl_ratio,refusal_rate,refusal_delta,degenerate_frac,answer_rate,answer_drop,coherent,cell_neutral,cell_accidental,cell_attempted,cell_intentional
baseline,0.0,-0.2667,0.0,11.837,1.0,0.0,0.0,0.0,1.0,0.0,True,0.3111,0.8033,0.5395,0.7611
intent_dom,-0.3,-0.4022,-0.1356,11.253,0.951,0.0,0.0,0.0,1.0,0.0,True,0.0547,0.5682,0.1779,0.5376
intent_dom,-0.2,-0.3052,-0.0385,11.021,0.931,0.0,0.0,0.0,1.0,0.0,True,0.1257,0.5989,0.2928,0.5917
intent_dom,-0.15,-0.3012,-0.0346,11.013,0.93,0.0,0.0,0.0,1.0,0.0,True,0.1711,0.6476,0.3447,0.6321
intent_dom,-0.1,-0.3067,-0.04,11.114,0.939,0.0,0.0,0.0,1.0,0.0,True,0.2111,0.7077,0.4009,0.6727
intent_dom,-0.05,-0.298,-0.0314,11.392,0.962,0.0,0.0,0.0,1.0,0.0,True,0.2547,0.763,0.4671,0.7173
intent_dom,-0.025,-0.2851,-0.0184,11.585,0.979,0.0,0.0,0.0,1.0,0.0,True,0.2816,0.7854,0.503,0.74
intent_dom,0.025,-0.2449,0.0218,12.088,1.021,0.0,0.0,0.0,1.0,0.0,True,0.3433,0.8169,0.5747,0.7802
intent_dom,0.05,-0.2176,0.0491,12.34,1.042,0.0,0.0,0.0,1.0,0.0,True,0.3785,0.8279,0.6124,0.7965
intent_dom,0.1,-0.1517,0.1149,12.868,1.087,0.0,0.0,0.0,1.0,0.0,True,0.4614,0.8494,0.698,0.8229
intent_dom,0.15,-0.1082,0.1585,13.317,1.125,0.0,0.0,0.0,1.0,0.0,True,0.5613,0.8737,0.763,0.8428
intent_dom,0.2,-0.0636,0.2031,13.818,1.167,0.0,0.0,0.0,1.0,0.0,True,0.6407,0.8961,0.8278,0.8564
intent_dom,0.3,-0.0416,0.2251,15.523,1.311,0.0,0.0,0.0,1.0,0.0,True,0.7344,0.9047,0.8546,0.8393
outcome_dom,-0.3,-0.1586,0.108,12.236,1.034,0.0,0.0,0.0,1.0,0.0,True,0.1081,0.3766,0.2361,0.3595
outcome_dom,-0.2,-0.1362,0.1305,11.775,0.995,0.0,0.0,0.0,1.0,0.0,True,0.1523,0.4195,0.2933,0.4083
outcome_dom,-0.15,-0.141,0.1256,11.621,0.982,0.0,0.0,0.0,1.0,0.0,True,0.1805,0.4733,0.3356,0.475
outcome_dom,-0.1,-0.1868,0.0798,11.548,0.976,0.0,0.0,0.0,1.0,0.0,True,0.209,0.5701,0.3814,0.5628
outcome_dom,-0.05,-0.2602,0.0065,11.645,0.984,0.0,0.0,0.0,1.0,0.0,True,0.2489,0.7019,0.4399,0.6646
outcome_dom,-0.025,-0.2784,-0.0117,11.738,0.992,0.0,0.0,0.0,1.0,0.0,True,0.2796,0.7623,0.4853,0.7134
outcome_dom,0.025,-0.2359,0.0308,11.935,1.008,0.0,0.0,0.0,1.0,0.0,True,0.349,0.8318,0.5986,0.8028
outcome_dom,0.05,-0.1862,0.0804,12.024,1.016,0.0,0.0,0.0,1.0,0.0,True,0.3962,0.8524,0.6677,0.8334
outcome_dom,0.1,-0.0904,0.1762,12.138,1.025,0.0,0.0,0.0,1.0,0.0,True,0.5184,0.891,0.8009,0.8675
outcome_dom,0.15,-0.0756,0.1911,12.147,1.026,0.0,0.0,0.0,1.0,0.0,True,0.6963,0.9256,0.8512,0.8977
outcome_dom,0.2,-0.0599,0.2068,12.025,1.016,0.0,0.0,0.0,1.0,0.0,True,0.8125,0.9485,0.8917,0.9322
outcome_dom,0.3,-0.0074,0.2592,11.874,1.003,0.0,0.0,0.0,1.0,0.0,True,0.9225,0.9566,0.9533,0.9519
intent_probe,-0.3,-0.2511,0.0155,11.442,0.967,0.0,0.0,0.0,1.0,0.0,True,0.3228,0.7943,0.5475,0.7533
intent_probe,-0.2,-0.2578,0.0089,11.174,0.944,0.0,0.0,0.0,1.0,0.0,True,0.316,0.7981,0.5437,0.7539
intent_probe,-0.15,-0.2601,0.0066,11.177,0.944,0.0,0.0,0.0,1.0,0.0,True,0.3135,0.7992,0.5424,0.7544
intent_probe,-0.1,-0.2621,0.0046,11.293,0.954,0.0,0.0,0.0,1.0,0.0,True,0.312,0.8002,0.5413,0.7557
intent_probe,-0.05,-0.2643,0.0023,11.511,0.972,0.0,0.0,0.0,1.0,0.0,True,0.3111,0.8016,0.5402,0.7577
intent_probe,-0.025,-0.2649,0.0018,11.661,0.985,0.0,0.0,0.0,1.0,0.0,True,0.311,0.8022,0.5402,0.7593
intent_probe,0.025,-0.2677,-0.001,12.01,1.015,0.0,0.0,0.0,1.0,0.0,True,0.3113,0.8045,0.5396,0.7634
intent_probe,0.05,-0.2686,-0.0019,12.192,1.03,0.0,0.0,0.0,1.0,0.0,True,0.3118,0.8057,0.5397,0.7657
intent_probe,0.1,-0.2707,-0.0041,12.573,1.062,0.0,0.0,0.0,1.0,0.0,True,0.3138,0.8089,0.5404,0.7706
intent_probe,0.15,-0.2715,-0.0048,12.951,1.094,0.0,0.0,0.0,1.0,0.0,True,0.3171,0.8131,0.5432,0.7753
intent_probe,0.2,-0.2707,-0.004,13.361,1.129,0.0,0.0,0.0,1.0,0.0,True,0.3234,0.818,0.5482,0.7804
intent_probe,0.3,-0.261,0.0056,14.276,1.206,0.0,0.0,0.0,1.0,0.0,True,0.3504,0.8263,0.5654,0.7896
outcome_probe,-0.3,-0.0649,0.2017,11.431,0.966,0.0,0.0,0.0,1.0,0.0,True,0.2719,0.4596,0.3995,0.4738
outcome_probe,-0.2,-0.1198,0.1469,11.674,0.986,0.0,0.0,0.0,1.0,0.0,True,0.2667,0.5338,0.414,0.561
