model,level,level_name,cumulative,components,n_templates,n_groups,n_cells,contrast,contrast_lo,contrast_hi,d_contrast,d_lo,d_hi,d_neutral,d_accidental,d_attempted,d_intentional,b_intent,b_outcome,b_interaction,b0,mean_neutral,mean_accidental,mean_attempted,mean_intentional,rating_std,extreme_frac,n_ratings
HuggingFaceH4/zephyr-7b-beta,1,baseline,True,none,7,53,371,-0.5515822214734951,-0.6062078208382476,-0.5016813470728587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08263660714285714,0.6342188286163523,-0.0800759602425877,0.0633032738095238,0.0633032738095238,0.6975221024258761,0.14593988095238095,0.7000827493261456,0.3878440062676538,0.39069990412272293,2086.0
HuggingFaceH4/zephyr-7b-beta,2,belief_cue,True,cue,7,53,371,-0.4871052616801437,-0.5392917604791243,-0.4381892539978338,0.06447695979335144,0.034741999988649554,0.09698673935486142,-0.024819940476190475,-0.05881118598382762,0.005665773809523822,-0.034923719676549836,0.11312232142857144,0.6002275831087152,-0.08667420822102422,0.03848333333333333,0.03848333333333333,0.6387109164420485,0.15160565476190477,0.6651590296495957,0.3469756316365338,0.33221476510067116,2086.0
HuggingFaceH4/zephyr-7b-beta,3,worked_example,True,cue+worked,7,53,371,-0.2878808513027853,-0.32097891404890944,-0.25621842280521223,0.2637013701707098,0.22204849025974024,0.3064095631057523,0.020801785714285717,-0.23119541778975744,0.03250595238095236,-0.2016532345013477,0.09434077380952378,0.3822216251123091,-0.062237943620844574,0.08410505952380952,0.08410505952380952,0.46632668463611865,0.1784458333333333,0.49842951482479786,0.26779869804207324,0.23825503355704697,2086.0
Qwen/Qwen2.5-14B-Instruct,1,baseline,True,none,7,53,371,-0.33819089734950586,-0.38451179134827057,-0.29116753669633727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2135678571428571,0.551758754492363,-0.18039602425876,0.09408005952380953,0.09408005952380953,0.6458388140161725,0.30764791666666663,0.6790106469002696,0.3365501690046605,0.2909875359539789,2086.0
Qwen/Qwen2.5-14B-Instruct,2,belief_cue,True,cue,7,53,371,-0.13751062724618152,-0.17454787591488702,-0.09860854049252625,0.20068027010332434,0.1732573736747528,0.22830787519539478,-0.02153199404761906,-0.18741940700808624,0.013260863095238107,-0.1105156334231806,0.24836071428571427,0.3858713415318958,-0.13828510781671155,0.07254806547619047,0.07254806547619047,0.45841940700808625,0.32090877976190474,0.568495013477089,0.27868124265422567,0.22003835091083412,2086.0
Qwen/Qwen2.5-14B-Instruct,3,worked_example,True,cue+worked,7,53,371,-0.12930407681940706,-0.16221780414861361,-0.09795886023622728,0.2088868205300988,0.16755349415933063,0.2518909745038406,-0.032505505952380956,-0.2731793800539084,-0.06429255952380947,-0.19431981132075482,0.1817808035714286,0.3110848803908355,-0.06974940195417792,0.061574553571428575,0.061574553571428575,0.3726594339622641,0.24335535714285716,0.48469083557951476,0.2157079775590195,0.1955896452540748,2086.0
allenai/Llama-3.1-Tulu-3-8B,1,baseline,True,none,7,53,371,-0.397688244047619,-0.44219085379652445,-0.35354860390262094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666177083333333,0.5643059523809523,-0.1805810506513925,0.14488690476190477,0.14488690476190477,0.7091928571428571,0.3115046130952381,0.6952295148247979,0.2893922631977008,0.02588686481303931,2086.0
allenai/Llama-3.1-Tulu-3-8B,2,belief_cue,True,cue,7,53,371,-0.33540214791105116,-0.37335793335014794,-0.29809832571748107,0.062286096136567826,0.03693683494508801,0.08739392446970581,-0.03154226190476192,-0.08437061994609152,-0.022084523809523804,-0.05726010781671165,0.17607544642857142,0.5114775943396227,-0.16292827661725073,0.11334464285714285,0.11334464285714285,0.6248222371967656,0.2894200892857143,0.6379694070080862,0.27443924429222233,0.03211888782358581,2086.0
allenai/Llama-3.1-Tulu-3-8B,3,worked_example,True,cue+worked,7,53,371,-0.25074648191823906,-0.2891749342895648,-0.2128987053937654,0.14694176212937993,0.11241843644993697,0.18349718063149778,-0.05371250000000001,-0.22518908355795136,-0.07824732142857144,-0.19332506738544486,0.1420828869047619,0.39282936882300096,-0.12418221305031456,0.09117440476190476,0.09117440476190476,0.4840037735849057,0.23325729166666664,0.501904447439353,0.2250557444629599,0.03595397890699904,2086.0
allenai/OLMo-2-1124-7B-Instruct,1,baseline,True,none,7,53,371,-0.6868154986522911,-0.7425139374279758,-0.6303859423612852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12264955357142857,0.8094650522237197,-0.13896491745283024,0.09442901785714286,0.09442901785714286,0.9038940700808625,0.21707857142857143,0.8875787061994609,0.4120218656809236,0.34755512943432404,2086.0
