layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.769,0.0705,0.5,144
2,intent_noharm,0.749,0.0708,0.5,144
3,intent_noharm,0.7414,0.0626,0.5,144
4,intent_noharm,0.7624,0.0474,0.5,144
5,intent_noharm,0.719,0.0933,0.5,144
6,intent_noharm,0.7771,0.0598,0.5,144
7,intent_noharm,0.7633,0.0298,0.5,144
8,intent_noharm,0.7695,0.0606,0.5,144
9,intent_noharm,0.7562,0.0518,0.5,144
10,intent_noharm,0.7714,0.06,0.5,144
11,intent_noharm,0.82,0.0628,0.5,144
12,intent_noharm,0.8262,0.0843,0.5,144
13,intent_noharm,0.8881,0.0287,0.5,144
14,intent_noharm,0.8886,0.0265,0.5,144
15,intent_noharm,0.8952,0.0746,0.5,144
16,intent_noharm,0.8533,0.0541,0.5,144
17,intent_noharm,0.8952,0.0513,0.5,144
18,intent_noharm,0.9086,0.0869,0.5,144
19,intent_noharm,0.8733,0.0555,0.5,144
20,intent_noharm,0.8319,0.0741,0.5,144
21,intent_noharm,0.8814,0.0537,0.5,144
22,intent_noharm,0.8824,0.0335,0.5,144
23,intent_noharm,0.8267,0.0549,0.5,144
24,intent_noharm,0.8548,0.0475,0.5,144
25,intent_noharm,0.8614,0.0477,0.5,144
26,intent_noharm,0.8543,0.0504,0.5,144
27,intent_noharm,0.8681,0.0405,0.5,144
28,intent_noharm,0.8738,0.0489,0.5,144
0,intent_harm,0.5062,0.0125,0.5,154
1,intent_harm,0.5775,0.0318,0.5,154
2,intent_harm,0.5771,0.0415,0.5,154
3,intent_harm,0.545,0.061,0.5,154
4,intent_harm,0.59,0.0464,0.5,154
5,intent_harm,0.5575,0.0356,0.5,154
6,intent_harm,0.6038,0.0496,0.5,154
7,intent_harm,0.5646,0.0339,0.5,154
8,intent_harm,0.5579,0.036,0.5,154
9,intent_harm,0.5387,0.0119,0.5,154
10,intent_harm,0.5387,0.0119,0.5,154
11,intent_harm,0.5704,0.0551,0.5,154
12,intent_harm,0.5512,0.032,0.5,154
13,intent_harm,0.5842,0.0323,0.5,154
14,intent_harm,0.5521,0.0162,0.5,154
15,intent_harm,0.545,0.0322,0.5,154
16,intent_harm,0.5588,0.0444,0.5,154
17,intent_harm,0.5513,0.0485,0.5,154
18,intent_harm,0.5854,0.0625,0.5,154
19,intent_harm,0.5775,0.0133,0.5,154
20,intent_harm,0.5512,0.0241,0.5,154
21,intent_harm,0.5196,0.016,0.5,154
22,intent_harm,0.5642,0.0448,0.5,154
23,intent_harm,0.5258,0.0236,0.5,154
24,intent_harm,0.5442,0.0467,0.5,154
25,intent_harm,0.5579,0.036,0.5,154
26,intent_harm,0.5267,0.0327,0.5,154
27,intent_harm,0.5383,0.0305,0.5,154
28,intent_harm,0.5454,0.0384,0.5,154
0,outcome_innocent,0.6039,0.0337,0.5168,149
1,outcome_innocent,0.8991,0.0309,0.5168,149
2,outcome_innocent,0.9667,0.0211,0.5168,149
3,outcome_innocent,0.9867,0.0163,0.5168,149
4,outcome_innocent,0.98,0.0163,0.5168,149
5,outcome_innocent,0.98,0.0163,0.5168,149
6,outcome_innocent,0.9733,0.0133,0.5168,149
7,outcome_innocent,0.9664,0.0211,0.5168,149
8,outcome_innocent,0.9733,0.0249,0.5168,149
9,outcome_innocent,0.98,0.0267,0.5168,149
10,outcome_innocent,0.9867,0.0163,0.5168,149
11,outcome_innocent,0.9867,0.0267,0.5168,149
12,outcome_innocent,0.9867,0.0267,0.5168,149
13,outcome_innocent,0.98,0.0267,0.5168,149
14,outcome_innocent,0.9867,0.0267,0.5168,149
15,outcome_innocent,0.98,0.0267,0.5168,149
16,outcome_innocent,0.9867,0.0163,0.5168,149
17,outcome_innocent,0.9867,0.0267,0.5168,149
18,outcome_innocent,0.98,0.0267,0.5168,149
19,outcome_innocent,0.98,0.0267,0.5168,149
20,outcome_innocent,0.9867,0.0163,0.5168,149
21,outcome_innocent,0.9867,0.0163,0.5168,149
22,outcome_innocent,0.9933,0.0133,0.5168,149
23,outcome_innocent,0.9867,0.0163,0.5168,149
24,outcome_innocent,0.98,0.0163,0.5168,149
25,outcome_innocent,0.9867,0.0163,0.5168,149
26,outcome_innocent,0.9867,0.0163,0.5168,149
27,outcome_innocent,0.9933,0.0133,0.5168,149
28,outcome_innocent,0.9867,0.0163,0.5168,149
0,outcome_guilty,0.6039,0.0337,0.5168,149
1,outcome_guilty,0.8991,0.0226,0.5168,149
2,outcome_guilty,0.9533,0.0267,0.5168,149
3,outcome_guilty,0.98,0.0267,0.5168,149
4,outcome_guilty,0.9867,0.0163,0.5168,149
5,outcome_guilty,0.9867,0.0267,0.5168,149
6,outcome_guilty,0.98,0.0163,0.5168,149
7,outcome_guilty,0.9933,0.0133,0.5168,149
8,outcome_guilty,0.9733,0.0249,0.5168,149
9,outcome_guilty,0.9798,0.0165,0.5168,149
10,outcome_guilty,0.9867,0.0163,0.5168,149
11,outcome_guilty,0.9933,0.0133,0.5168,149
12,outcome_guilty,0.9933,0.0133,0.5168,149
13,outcome_guilty,0.9933,0.0133,0.5168,149
14,outcome_guilty,0.9933,0.0133,0.5168,149
