layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.8067,0.052,0.5,144
1,intent_noharm,0.8333,0.0404,0.5,144
2,intent_noharm,0.82,0.0666,0.5,144
3,intent_noharm,0.8133,0.0813,0.5,144
4,intent_noharm,0.8181,0.0503,0.5,144
5,intent_noharm,0.7852,0.0566,0.5,144
6,intent_noharm,0.8257,0.0412,0.5,144
7,intent_noharm,0.8119,0.0572,0.5,144
8,intent_noharm,0.8124,0.0589,0.5,144
9,intent_noharm,0.8481,0.0854,0.5,144
10,intent_noharm,0.8757,0.0725,0.5,144
11,intent_noharm,0.9033,0.0441,0.5,144
12,intent_noharm,0.9024,0.0275,0.5,144
13,intent_noharm,0.931,0.0204,0.5,144
14,intent_noharm,0.951,0.0424,0.5,144
15,intent_noharm,0.9786,0.0286,0.5,144
16,intent_noharm,0.9719,0.0266,0.5,144
17,intent_noharm,0.9514,0.0361,0.5,144
18,intent_noharm,0.9371,0.0419,0.5,144
19,intent_noharm,0.9157,0.0542,0.5,144
20,intent_noharm,0.8871,0.0773,0.5,144
21,intent_noharm,0.8876,0.0485,0.5,144
22,intent_noharm,0.8743,0.0308,0.5,144
23,intent_noharm,0.8743,0.0308,0.5,144
24,intent_noharm,0.8743,0.0308,0.5,144
25,intent_noharm,0.8676,0.028,0.5,144
26,intent_noharm,0.8467,0.0541,0.5,144
27,intent_noharm,0.861,0.0231,0.5,144
28,intent_noharm,0.8676,0.028,0.5,144
29,intent_noharm,0.8476,0.033,0.5,144
30,intent_noharm,0.8676,0.028,0.5,144
31,intent_noharm,0.8262,0.0812,0.5,144
32,intent_noharm,0.8619,0.034,0.5,144
0,intent_harm,0.7863,0.0414,0.5,154
1,intent_harm,0.7917,0.0209,0.5,154
2,intent_harm,0.8054,0.0344,0.5,154
3,intent_harm,0.8371,0.057,0.5,154
4,intent_harm,0.7983,0.0454,0.5,154
5,intent_harm,0.785,0.0308,0.5,154
6,intent_harm,0.8104,0.0664,0.5,154
7,intent_harm,0.81,0.0644,0.5,154
8,intent_harm,0.8554,0.0603,0.5,154
9,intent_harm,0.8621,0.0554,0.5,154
10,intent_harm,0.8696,0.0233,0.5,154
11,intent_harm,0.8817,0.0512,0.5,154
12,intent_harm,0.8817,0.0472,0.5,154
13,intent_harm,0.9279,0.0259,0.5,154
14,intent_harm,0.9354,0.0285,0.5,154
15,intent_harm,0.9675,0.0198,0.5,154
16,intent_harm,0.9483,0.0248,0.5,154
17,intent_harm,0.9413,0.0391,0.5,154
18,intent_harm,0.9217,0.0266,0.5,154
19,intent_harm,0.9279,0.0381,0.5,154
20,intent_harm,0.9279,0.0259,0.5,154
21,intent_harm,0.9213,0.0394,0.5,154
22,intent_harm,0.9025,0.0449,0.5,154
23,intent_harm,0.9092,0.0465,0.5,154
24,intent_harm,0.9025,0.0539,0.5,154
25,intent_harm,0.9025,0.0467,0.5,154
26,intent_harm,0.8967,0.0367,0.5,154
27,intent_harm,0.8762,0.0449,0.5,154
28,intent_harm,0.8896,0.0263,0.5,154
29,intent_harm,0.8775,0.0347,0.5,154
30,intent_harm,0.89,0.0481,0.5,154
31,intent_harm,0.8642,0.0551,0.5,154
32,intent_harm,0.8642,0.0206,0.5,154
0,outcome_innocent,0.8791,0.062,0.5168,149
1,outcome_innocent,0.8791,0.0455,0.5168,149
2,outcome_innocent,0.8926,0.0489,0.5168,149
3,outcome_innocent,0.8995,0.0418,0.5168,149
4,outcome_innocent,0.9126,0.0169,0.5168,149
5,outcome_innocent,0.9529,0.027,0.5168,149
6,outcome_innocent,0.9595,0.0254,0.5168,149
7,outcome_innocent,0.9662,0.0303,0.5168,149
8,outcome_innocent,0.9529,0.0402,0.5168,149
9,outcome_innocent,0.9529,0.0501,0.5168,149
10,outcome_innocent,0.9731,0.0389,0.5168,149
11,outcome_innocent,0.9664,0.0211,0.5168,149
