layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.7971,0.0637,0.5,144
1,intent_noharm,0.8252,0.0527,0.5,144
2,intent_noharm,0.7848,0.0316,0.5,144
3,intent_noharm,0.7914,0.0959,0.5,144
4,intent_noharm,0.7767,0.0508,0.5,144
5,intent_noharm,0.7557,0.0542,0.5,144
6,intent_noharm,0.8133,0.0676,0.5,144
7,intent_noharm,0.771,0.0789,0.5,144
8,intent_noharm,0.7786,0.0744,0.5,144
9,intent_noharm,0.7705,0.0639,0.5,144
10,intent_noharm,0.8119,0.0807,0.5,144
11,intent_noharm,0.791,0.0513,0.5,144
12,intent_noharm,0.7767,0.062,0.5,144
13,intent_noharm,0.8462,0.0649,0.5,144
14,intent_noharm,0.881,0.0384,0.5,144
15,intent_noharm,0.909,0.0537,0.5,144
16,intent_noharm,0.9095,0.0485,0.5,144
17,intent_noharm,0.9167,0.0567,0.5,144
18,intent_noharm,0.93,0.0509,0.5,144
19,intent_noharm,0.8952,0.0331,0.5,144
20,intent_noharm,0.8886,0.0479,0.5,144
21,intent_noharm,0.8386,0.0565,0.5,144
22,intent_noharm,0.8462,0.0554,0.5,144
23,intent_noharm,0.839,0.0511,0.5,144
24,intent_noharm,0.8462,0.0554,0.5,144
25,intent_noharm,0.8595,0.0658,0.5,144
26,intent_noharm,0.8452,0.0648,0.5,144
27,intent_noharm,0.8386,0.0603,0.5,144
28,intent_noharm,0.8105,0.0618,0.5,144
0,intent_harm,0.7796,0.051,0.5,154
1,intent_harm,0.8246,0.0159,0.5,154
2,intent_harm,0.7983,0.0672,0.5,154
3,intent_harm,0.7525,0.0605,0.5,154
4,intent_harm,0.7787,0.0458,0.5,154
5,intent_harm,0.7846,0.049,0.5,154
6,intent_harm,0.7917,0.0552,0.5,154
7,intent_harm,0.81,0.0604,0.5,154
8,intent_harm,0.7721,0.0393,0.5,154
9,intent_harm,0.8042,0.0456,0.5,154
10,intent_harm,0.8492,0.0562,0.5,154
11,intent_harm,0.7904,0.0681,0.5,154
12,intent_harm,0.8037,0.0628,0.5,154
13,intent_harm,0.8421,0.067,0.5,154
14,intent_harm,0.8496,0.0599,0.5,154
15,intent_harm,0.8883,0.0788,0.5,154
16,intent_harm,0.8754,0.0625,0.5,154
17,intent_harm,0.8958,0.0333,0.5,154
18,intent_harm,0.9154,0.0453,0.5,154
19,intent_harm,0.9096,0.0371,0.5,154
20,intent_harm,0.8633,0.0772,0.5,154
21,intent_harm,0.8175,0.0668,0.5,154
22,intent_harm,0.8171,0.0567,0.5,154
23,intent_harm,0.7979,0.0456,0.5,154
24,intent_harm,0.7792,0.0465,0.5,154
25,intent_harm,0.765,0.0484,0.5,154
26,intent_harm,0.7721,0.0434,0.5,154
27,intent_harm,0.7596,0.034,0.5,154
28,intent_harm,0.7583,0.0547,0.5,154
0,outcome_innocent,0.866,0.0416,0.5168,149
1,outcome_innocent,0.8857,0.0457,0.5168,149
2,outcome_innocent,0.8657,0.0558,0.5168,149
3,outcome_innocent,0.8791,0.0344,0.5168,149
4,outcome_innocent,0.9057,0.054,0.5168,149
5,outcome_innocent,0.9055,0.0588,0.5168,149
6,outcome_innocent,0.9324,0.0485,0.5168,149
7,outcome_innocent,0.9191,0.0626,0.5168,149
8,outcome_innocent,0.9124,0.0508,0.5168,149
9,outcome_innocent,0.9257,0.0455,0.5168,149
10,outcome_innocent,0.966,0.0433,0.5168,149
11,outcome_innocent,0.9464,0.0399,0.5168,149
12,outcome_innocent,0.9595,0.033,0.5168,149
13,outcome_innocent,0.9598,0.0249,0.5168,149
14,outcome_innocent,0.9731,0.025,0.5168,149
15,outcome_innocent,0.9864,0.0166,0.5168,149
