layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.7971,0.0637,0.5,144
1,intent_noharm,0.8186,0.0534,0.5,144
2,intent_noharm,0.7848,0.0316,0.5,144
3,intent_noharm,0.7986,0.0911,0.5,144
4,intent_noharm,0.7695,0.0703,0.5,144
5,intent_noharm,0.7629,0.0639,0.5,144
6,intent_noharm,0.8133,0.0596,0.5,144
7,intent_noharm,0.771,0.0851,0.5,144
8,intent_noharm,0.7848,0.0503,0.5,144
9,intent_noharm,0.749,0.0793,0.5,144
10,intent_noharm,0.8262,0.0779,0.5,144
11,intent_noharm,0.7771,0.0744,0.5,144
12,intent_noharm,0.7905,0.0563,0.5,144
13,intent_noharm,0.8471,0.0589,0.5,144
14,intent_noharm,0.8738,0.0539,0.5,144
15,intent_noharm,0.9019,0.0422,0.5,144
16,intent_noharm,0.8957,0.0446,0.5,144
17,intent_noharm,0.9167,0.0567,0.5,144
18,intent_noharm,0.909,0.0487,0.5,144
19,intent_noharm,0.9095,0.0178,0.5,144
20,intent_noharm,0.8881,0.0287,0.5,144
21,intent_noharm,0.8119,0.0378,0.5,144
22,intent_noharm,0.8262,0.0621,0.5,144
23,intent_noharm,0.8252,0.0427,0.5,144
24,intent_noharm,0.8324,0.0547,0.5,144
25,intent_noharm,0.8395,0.0546,0.5,144
26,intent_noharm,0.8119,0.0441,0.5,144
27,intent_noharm,0.8048,0.0532,0.5,144
28,intent_noharm,0.79,0.0501,0.5,144
0,intent_harm,0.7729,0.0454,0.5,154
1,intent_harm,0.8054,0.039,0.5,154
2,intent_harm,0.7917,0.0591,0.5,154
3,intent_harm,0.7654,0.0668,0.5,154
4,intent_harm,0.7588,0.0712,0.5,154
5,intent_harm,0.7725,0.0372,0.5,154
6,intent_harm,0.8104,0.0672,0.5,154
7,intent_harm,0.8229,0.0713,0.5,154
8,intent_harm,0.785,0.0366,0.5,154
9,intent_harm,0.7979,0.0292,0.5,154
10,intent_harm,0.8692,0.0382,0.5,154
11,intent_harm,0.7908,0.0539,0.5,154
12,intent_harm,0.8171,0.0434,0.5,154
13,intent_harm,0.8162,0.0715,0.5,154
14,intent_harm,0.8362,0.062,0.5,154
15,intent_harm,0.8625,0.0662,0.5,154
16,intent_harm,0.8817,0.0789,0.5,154
17,intent_harm,0.8825,0.0464,0.5,154
18,intent_harm,0.9229,0.0511,0.5,154
19,intent_harm,0.8762,0.0642,0.5,154
20,intent_harm,0.89,0.0604,0.5,154
21,intent_harm,0.8238,0.082,0.5,154
22,intent_harm,0.7904,0.0721,0.5,154
23,intent_harm,0.8037,0.0628,0.5,154
24,intent_harm,0.7588,0.0861,0.5,154
25,intent_harm,0.7521,0.053,0.5,154
26,intent_harm,0.7792,0.0314,0.5,154
27,intent_harm,0.7796,0.0356,0.5,154
28,intent_harm,0.7467,0.0465,0.5,154
0,outcome_innocent,0.8593,0.0528,0.5168,149
1,outcome_innocent,0.8857,0.0457,0.5168,149
2,outcome_innocent,0.8657,0.0558,0.5168,149
3,outcome_innocent,0.8857,0.0457,0.5168,149
4,outcome_innocent,0.8991,0.0602,0.5168,149
5,outcome_innocent,0.9122,0.0633,0.5168,149
6,outcome_innocent,0.9324,0.0485,0.5168,149
7,outcome_innocent,0.9191,0.0626,0.5168,149
8,outcome_innocent,0.9124,0.0508,0.5168,149
9,outcome_innocent,0.9257,0.0455,0.5168,149
10,outcome_innocent,0.9526,0.046,0.5168,149
11,outcome_innocent,0.9398,0.0387,0.5168,149
12,outcome_innocent,0.9733,0.0327,0.5168,149
13,outcome_innocent,0.9598,0.0249,0.5168,149
14,outcome_innocent,0.9664,0.0211,0.5168,149
15,outcome_innocent,0.98,0.0267,0.5168,149
16,outcome_innocent,0.9731,0.025,0.5168,149
17,outcome_innocent,0.9731,0.0135,0.5168,149
18,outcome_innocent,0.9598,0.0132,0.5168,149
19,outcome_innocent,0.9531,0.0452,0.5168,149
20,outcome_innocent,0.9464,0.0451,0.5168,149
21,outcome_innocent,0.9329,0.0365,0.5168,149
22,outcome_innocent,0.9126,0.0343,0.5168,149
23,outcome_innocent,0.9193,0.0344,0.5168,149
