layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.7695,0.0617,0.5,144
1,intent_noharm,0.8052,0.0747,0.5,144
2,intent_noharm,0.799,0.043,0.5,144
3,intent_noharm,0.7705,0.0766,0.5,144
4,intent_noharm,0.7767,0.0861,0.5,144
5,intent_noharm,0.84,0.0293,0.5,144
6,intent_noharm,0.8267,0.0754,0.5,144
7,intent_noharm,0.8329,0.0286,0.5,144
8,intent_noharm,0.799,0.0485,0.5,144
9,intent_noharm,0.7848,0.0574,0.5,144
10,intent_noharm,0.771,0.0685,0.5,144
11,intent_noharm,0.7848,0.0574,0.5,144
12,intent_noharm,0.819,0.0456,0.5,144
13,intent_noharm,0.8462,0.0608,0.5,144
14,intent_noharm,0.9024,0.0422,0.5,144
15,intent_noharm,0.9029,0.0405,0.5,144
16,intent_noharm,0.9305,0.031,0.5,144
17,intent_noharm,0.9719,0.0416,0.5,144
18,intent_noharm,0.9648,0.032,0.5,144
19,intent_noharm,0.93,0.0509,0.5,144
20,intent_noharm,0.8748,0.0582,0.5,144
21,intent_noharm,0.8881,0.0623,0.5,144
22,intent_noharm,0.8876,0.0429,0.5,144
23,intent_noharm,0.86,0.041,0.5,144
24,intent_noharm,0.8324,0.0437,0.5,144
25,intent_noharm,0.8324,0.0437,0.5,144
26,intent_noharm,0.8533,0.0421,0.5,144
27,intent_noharm,0.8467,0.0297,0.5,144
28,intent_noharm,0.8257,0.0412,0.5,144
0,intent_harm,0.7596,0.034,0.5,154
1,intent_harm,0.76,0.0429,0.5,154
2,intent_harm,0.7596,0.034,0.5,154
3,intent_harm,0.7458,0.0433,0.5,154
4,intent_harm,0.7988,0.0471,0.5,154
5,intent_harm,0.7917,0.0537,0.5,154
6,intent_harm,0.785,0.062,0.5,154
7,intent_harm,0.7908,0.0668,0.5,154
8,intent_harm,0.785,0.0517,0.5,154
9,intent_harm,0.8104,0.0512,0.5,154
10,intent_harm,0.8171,0.0434,0.5,154
11,intent_harm,0.8433,0.059,0.5,154
12,intent_harm,0.8954,0.0267,0.5,154
13,intent_harm,0.8696,0.0364,0.5,154
14,intent_harm,0.9083,0.0447,0.5,154
15,intent_harm,0.9212,0.0349,0.5,154
16,intent_harm,0.9221,0.0337,0.5,154
17,intent_harm,0.9346,0.0369,0.5,154
18,intent_harm,0.9412,0.0444,0.5,154
19,intent_harm,0.9346,0.0218,0.5,154
20,intent_harm,0.9158,0.0145,0.5,154
21,intent_harm,0.8962,0.0237,0.5,154
22,intent_harm,0.8637,0.0236,0.5,154
23,intent_harm,0.8508,0.0382,0.5,154
24,intent_harm,0.8758,0.0526,0.5,154
25,intent_harm,0.8371,0.056,0.5,154
26,intent_harm,0.85,0.0508,0.5,154
27,intent_harm,0.85,0.0204,0.5,154
28,intent_harm,0.7838,0.0776,0.5,154
0,outcome_innocent,0.8857,0.0457,0.5168,149
1,outcome_innocent,0.8857,0.0346,0.5168,149
2,outcome_innocent,0.8789,0.0464,0.5168,149
3,outcome_innocent,0.8857,0.0274,0.5168,149
4,outcome_innocent,0.9193,0.0172,0.5168,149
5,outcome_innocent,0.9393,0.0496,0.5168,149
6,outcome_innocent,0.946,0.035,0.5168,149
7,outcome_innocent,0.9593,0.0339,0.5168,149
8,outcome_innocent,0.9526,0.0351,0.5168,149
9,outcome_innocent,0.9391,0.0458,0.5168,149
10,outcome_innocent,0.9324,0.0485,0.5168,149
11,outcome_innocent,0.9462,0.0342,0.5168,149
12,outcome_innocent,0.9662,0.0303,0.5168,149
13,outcome_innocent,0.9798,0.0165,0.5168,149
14,outcome_innocent,0.9529,0.027,0.5168,149
15,outcome_innocent,0.9933,0.0133,0.5168,149
16,outcome_innocent,1.0,0.0,0.5168,149
17,outcome_innocent,0.9931,0.0138,0.5168,149
18,outcome_innocent,0.9931,0.0138,0.5168,149
19,outcome_innocent,0.9864,0.0166,0.5168,149
20,outcome_innocent,0.9795,0.0275,0.5168,149
21,outcome_innocent,0.9795,0.0275,0.5168,149
22,outcome_innocent,0.9457,0.0469,0.5168,149
23,outcome_innocent,0.9324,0.0436,0.5168,149
24,outcome_innocent,0.9324,0.0382,0.5168,149
25,outcome_innocent,0.9324,0.0436,0.5168,149
26,outcome_innocent,0.9324,0.0485,0.5168,149
27,outcome_innocent,0.9257,0.0455,0.5168,149
28,outcome_innocent,0.8991,0.0309,0.5168,149
0,outcome_guilty,0.8926,0.0441,0.5168,149
1,outcome_guilty,0.906,0.0328,0.5168,149
2,outcome_guilty,0.8924,0.026,0.5168,149
3,outcome_guilty,0.9057,0.0264,0.5168,149
4,outcome_guilty,0.9193,0.0272,0.5168,149
5,outcome_guilty,0.9326,0.0306,0.5168,149
6,outcome_guilty,0.9462,0.0269,0.5168,149
7,outcome_guilty,0.9662,0.0218,0.5168,149
8,outcome_guilty,0.9593,0.0339,0.5168,149
9,outcome_guilty,0.9593,0.0339,0.5168,149
10,outcome_guilty,0.9193,0.0272,0.5168,149
11,outcome_guilty,0.9595,0.0254,0.5168,149
12,outcome_guilty,0.9862,0.0276,0.5168,149
13,outcome_guilty,0.9931,0.0138,0.5168,149
14,outcome_guilty,0.9864,0.0166,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,0.9933,0.0133,0.5168,149
17,outcome_guilty,0.9933,0.0133,0.5168,149
18,outcome_guilty,1.0,0.0,0.5168,149
19,outcome_guilty,0.9731,0.0135,0.5168,149
