model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,-0.0044,0.0386,0.0014,0.0447,0.0297
OLMo-2-1124-7B,8,False,0.25,-0.0009,0.0782,0.0049,0.0849,0.0544
OLMo-2-1124-7B,15,True,0.469,0.0104,0.1288,0.0164,0.1362,0.1075
OLMo-2-1124-7B,16,False,0.5,0.0086,0.1166,0.0145,0.1238,0.1052
OLMo-2-1124-7B,24,False,0.75,0.0015,0.0925,0.0073,0.0993,0.0686
OLMo-2-1124-7B,32,False,1.0,-0.0021,0.0671,0.0037,0.0735,0.0479
OLMo-2-1124-7B-Instruct,0,False,0.0,-0.0044,0.0386,0.0014,0.0446,0.03
OLMo-2-1124-7B-Instruct,8,False,0.25,-0.0003,0.0894,0.0055,0.0963,0.0542
OLMo-2-1124-7B-Instruct,15,True,0.469,0.0172,0.147,0.0233,0.1547,0.1307
OLMo-2-1124-7B-Instruct,16,False,0.5,0.0154,0.1376,0.0215,0.1451,0.1289
OLMo-2-1124-7B-Instruct,24,False,0.75,0.0064,0.1146,0.0123,0.1218,0.0918
OLMo-2-1124-7B-Instruct,32,False,1.0,0.0026,0.1,0.0084,0.1069,0.0731
Qwen2.5-0.5B,0,False,0.0,-0.0044,0.0331,0.0013,0.039,0.0333
Qwen2.5-0.5B,6,False,0.25,-0.004,0.1989,0.0006,0.2053,0.0031
Qwen2.5-0.5B,12,False,0.5,-0.0025,0.2645,0.0014,0.2701,0.005
Qwen2.5-0.5B,15,True,0.625,-0.0024,0.2686,0.0025,0.2761,0.0088
Qwen2.5-0.5B,18,False,0.75,-0.0026,0.2685,0.0024,0.2762,0.0086
Qwen2.5-0.5B,24,False,1.0,-0.0033,0.0746,0.0023,0.0809,0.0272
Qwen2.5-0.5B-Instruct,0,False,0.0,-0.0044,0.0326,0.0013,0.0386,0.0336
Qwen2.5-0.5B-Instruct,6,False,0.25,-0.004,0.1927,0.0005,0.1988,0.0027
Qwen2.5-0.5B-Instruct,12,False,0.5,-0.0027,0.2655,0.0008,0.2705,0.0029
Qwen2.5-0.5B-Instruct,14,True,0.583,-0.0027,0.2956,0.0007,0.3006,0.0023
Qwen2.5-0.5B-Instruct,18,False,0.75,-0.0025,0.2754,0.0022,0.2828,0.0079
Qwen2.5-0.5B-Instruct,24,False,1.0,-0.003,0.0762,0.0026,0.0826,0.0301
Qwen2.5-1.5B,0,False,0.0,-0.0043,0.0304,0.0014,0.0363,0.0372
Qwen2.5-1.5B,7,False,0.25,-0.0044,0.2112,-0.0004,0.2166,0.0019
Qwen2.5-1.5B,14,False,0.5,-0.0029,0.2668,0.001,0.2724,0.0036
Qwen2.5-1.5B,19,True,0.679,-0.0023,0.292,0.0014,0.2972,0.0045
Qwen2.5-1.5B,21,False,0.75,-0.0024,0.2823,0.0021,0.2893,0.0073
Qwen2.5-1.5B,28,False,1.0,-0.0025,0.0705,0.0033,0.077,0.0411
Qwen2.5-1.5B-Instruct,0,False,0.0,-0.0044,0.0304,0.0014,0.0363,0.0369
Qwen2.5-1.5B-Instruct,7,False,0.25,-0.0044,0.209,-0.0006,0.2141,0.0026
Qwen2.5-1.5B-Instruct,14,False,0.5,-0.0029,0.2802,0.0003,0.2846,0.001
Qwen2.5-1.5B-Instruct,18,True,0.643,-0.0024,0.2836,0.0008,0.288,0.0026
Qwen2.5-1.5B-Instruct,21,False,0.75,-0.0024,0.2826,0.0017,0.2889,0.006
Qwen2.5-1.5B-Instruct,28,False,1.0,-0.0021,0.0747,0.0037,0.0813,0.0439
Qwen2.5-7B,0,False,0.0,-0.0035,0.038,0.0023,0.044,0.0495
Qwen2.5-7B,7,False,0.25,-0.0038,0.176,0.0011,0.1827,0.0062
Qwen2.5-7B,14,False,0.5,-0.0021,0.1547,0.0036,0.1623,0.0214
Qwen2.5-7B,16,True,0.571,-0.0008,0.1848,0.0047,0.1925,0.024
Qwen2.5-7B,21,False,0.75,0.0003,0.2086,0.0058,0.2167,0.0262
Qwen2.5-7B,28,False,1.0,-0.0019,0.0838,0.0039,0.0905,0.0415
Qwen2.5-7B-Instruct,0,False,0.0,-0.0035,0.038,0.0023,0.044,0.0498
Qwen2.5-7B-Instruct,7,False,0.25,-0.0038,0.1761,0.0011,0.1827,0.0062
Qwen2.5-7B-Instruct,14,False,0.5,-0.0019,0.1811,0.0036,0.1888,0.0189
Qwen2.5-7B-Instruct,18,True,0.643,-0.0001,0.2186,0.0052,0.2264,0.0226
Qwen2.5-7B-Instruct,21,False,0.75,-0.0001,0.2213,0.0054,0.2294,0.0229
Qwen2.5-7B-Instruct,28,False,1.0,-0.0012,0.085,0.0046,0.0917,0.048
