model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.8146,0.8916,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.5158,0.646,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.5142,0.6672,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.5351,0.7468,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.5362,0.7685,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.541,0.8058,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.5261,0.764,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.5318,0.6438,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.56,0.6664,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.5776,0.7485,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.6149,0.7862,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.601,0.8298,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.6475,0.8079,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.886,0.8582,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.6783,0.7372,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.6672,0.7228,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.5831,0.6638,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.5654,0.6264,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.7521,0.7778,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.7565,0.7844,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.5857,0.6788,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.5849,0.6441,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.936,0.9481,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.6568,0.7645,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.6003,0.7178,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.6581,0.7803,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.6427,0.7444,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.8282,0.9114,0.264
