model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.8657,0.9552,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.2946,0.2705,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.2737,0.2642,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.2922,0.2285,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.2716,0.2242,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.362,0.2179,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.3708,0.1997,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.2611,0.2843,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.2469,0.2782,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.2689,0.2407,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.2522,0.2365,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.2999,0.2277,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.3214,0.2105,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.9886,0.9982,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.9312,0.9849,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.9396,0.9842,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.8301,0.8255,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.8442,0.7901,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.9186,0.9813,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.9404,0.9809,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.8104,0.8245,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.8291,0.7888,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.979,0.9995,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.8455,0.8443,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.8527,0.8162,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.8206,0.8431,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.8395,0.8159,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.9891,0.9938,0.264
