mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,17,16,0.8657,0.9552,0.9875
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,17,12,0.2946,0.2705,0.6143
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,17,12,0.2737,0.2642,0.5952
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,17,17,0.2922,0.2285,0.4585
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,17,17,0.2716,0.2242,0.4385
peak,OLMo-2-1124-7B,Qwen2.5-7B,17,18,0.362,0.2179,0.4885
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,17,18,0.3708,0.1997,0.4541
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,16,12,0.2611,0.2843,0.618
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,16,12,0.2469,0.2782,0.5991
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,16,17,0.2689,0.2407,0.4627
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,16,17,0.2522,0.2365,0.4428
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,16,18,0.2999,0.2277,0.4913
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,16,18,0.3214,0.2105,0.4578
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,12,12,0.9886,0.9982,0.9947
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,12,17,0.9312,0.9849,0.9431
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,12,17,0.9396,0.9842,0.9362
peak,Qwen2.5-0.5B,Qwen2.5-7B,12,18,0.8301,0.8255,0.9175
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,12,18,0.8442,0.7901,0.9151
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,12,17,0.9186,0.9813,0.9399
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,12,17,0.9404,0.9809,0.9347
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,12,18,0.8104,0.8245,0.919
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,12,18,0.8291,0.7888,0.9175
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,17,17,0.979,0.9995,0.9977
peak,Qwen2.5-1.5B,Qwen2.5-7B,17,18,0.8455,0.8443,0.8976
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,17,18,0.8527,0.8162,0.9143
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,17,18,0.8206,0.8431,0.8902
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,17,18,0.8395,0.8159,0.911
peak,Qwen2.5-7B,Qwen2.5-7B-Instruct,18,18,0.9891,0.9938,0.9877
reldepth0.75,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,24,24,0.9087,0.9802,0.9934
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B,24,18,0.3888,0.4197,0.786
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,24,18,0.3711,0.4034,0.7973
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B,24,21,0.3546,0.2244,0.602
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,24,21,0.3253,0.2131,0.5726
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B,24,21,0.416,0.2257,0.6151
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,24,21,0.403,0.1983,0.5627
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,24,18,0.2893,0.4064,0.7782
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,24,18,0.3006,0.3957,0.792
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,24,21,0.2606,0.2179,0.5964
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,24,21,0.2341,0.2075,0.5673
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,24,21,0.3137,0.2152,0.6066
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,24,21,0.2952,0.1897,0.5556
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,18,18,0.9484,0.9799,0.9822
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B,18,21,0.8201,0.8961,0.8617
