model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.7975,0.929,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.5495,0.7905,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.4023,0.5965,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.5722,0.8262,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.6047,0.815,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.5739,0.8519,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.5867,0.8575,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.645,0.8231,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.4409,0.6024,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.7345,0.8579,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.798,0.8599,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.7586,0.8762,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.8243,0.9044,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.5107,0.6496,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.7745,0.864,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.6712,0.8018,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.6201,0.8093,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.6011,0.818,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.444,0.6462,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.5185,0.6169,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.4112,0.6231,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.4312,0.6054,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.7636,0.8729,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.7287,0.8456,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.7372,0.8534,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.7641,0.8656,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.8306,0.8814,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.8796,0.9484,0.264
