model,spec,intercept,se_intercept,p_intercept,b_intent,se_intent,p_intent,b_outcome,se_outcome,p_outcome,b_interaction,se_interaction,p_interaction,cell_neutral,cell_accidental,cell_attempted,cell_intentional,diag_attempted_minus_accidental,saturating_factor,var_scenario_group,var_residual,converged,n_obs,n_groups,n_stories,note
HuggingFaceH4/zephyr-7b-beta,primary,0.05942749620427914,0.018581942077373043,0.0013832114022961643,0.09116307870370366,0.018498858303404503,8.305941883021862e-07,0.6302373426531921,0.018295210402821182,4.788772280995614e-260,-0.08741372805435317,0.025733134943832312,0.0006814571976881161,0.060076157407407405,0.6857201298701299,0.15123923611111112,0.6894694805194805,-0.5344808937590187,outcome,0.008654342629988657,0.0499328295066255,True,3576,53,298,
HuggingFaceH4/zephyr-7b-beta,template_absorbed,0.23799228467822225,0.021138999334311685,2.1043652741656232e-29,0.09116307870370127,0.01849909651675216,8.308639345043867e-07,0.630236844654264,0.018295435916563175,4.863955624602029e-260,-0.08741372805435065,0.025733466314348287,0.0006815661358016481,0.060076157407407405,0.6857201298701299,0.15123923611111112,0.6894694805194805,-0.5344808937590187,outcome,0.008652422513351892,0.03302961657733098,True,3576,53,298,
Qwen/Qwen2_5-0_5B-Instruct,primary,0.1964016969336646,0.007740517343794405,4.984855922193593e-142,0.008346153846154334,0.008943582355590894,0.3507165535919182,0.0571882611008374,0.008830237988828185,9.392922652006679e-11,-0.015533866133866718,0.01244111435760023,0.2118146258967648,0.1992744658119658,0.2551201798201798,0.20762061965811965,0.24793246753246753,-0.04749956016206017,outcome,0.000947974599529901,0.035772354209469726,False,3874,53,298,
Qwen/Qwen2_5-0_5B-Instruct,template_absorbed,0.4824050266892447,0.006527448931407483,0.0,0.008346153846151663,0.003789901139961347,0.027650558926343986,0.05856938149259013,0.0037554010840313698,7.745305261348072e-55,-0.0155338661338635,0.005272003053316032,0.0032141033001413786,0.1992744658119658,0.2551201798201798,0.20762061965811965,0.24793246753246753,-0.04749956016206017,outcome,0.0013274373793415587,0.003151911545336915,True,3874,53,298,
Qwen/Qwen2_5-0_5B,primary,0.28061034903434345,0.004306966102506063,0.0,0.0015523504273499888,0.004066077089875472,0.7026239133583403,0.002006831553381051,0.004021090628119347,0.6177255418345424,-0.0015164862914857518,0.005656182058896789,0.7886136525637543,0.2810688034188034,0.28336453546453544,0.2826211538461538,0.28340039960039964,-0.0007433816183816111,outcome,0.000515838384174466,0.00747849683072024,False,3874,53,298,
Qwen/Qwen2_5-0_5B,template_absorbed,0.22656718841334914,0.003949118458695782,0.0,0.0015523504273506482,0.0015169645433357538,0.30615337030148937,0.0018450914873274033,0.0015038466766750358,0.21985467960232086,-0.0015164862914865285,0.002110197973216744,0.47235878297498846,0.2810688034188034,0.28336453546453544,0.2826211538461538,0.28340039960039964,-0.0007433816183816111,outcome,0.0006050853682063535,0.0009443376951383365,True,3874,53,298,
Qwen/Qwen2_5-14B-Instruct,primary,0.12013679413982867,0.019286348634759646,4.69091265530054e-10,0.1857608974358971,0.01705667679472402,1.2751173751722675e-27,0.5634774678797565,0.01688082034553919,2.6978617120252715e-244,-0.16467538295038245,0.023726965116068154,3.909032888584383e-12,0.12633472222222222,0.6844299700299701,0.31209561965811966,0.7055154845154845,-0.3723343503718504,outcome,0.011441658086240092,0.04054814142222424,True,3874,53,298,
Qwen/Qwen2_5-14B-Instruct,template_absorbed,0.31713091135420923,0.020850735853041293,3.055020741830702e-52,0.1857608974358994,0.017056124204292127,1.2701862486005925e-27,0.5634779153527562,0.016880281350629033,2.6011775608913645e-244,-0.16467538295038553,0.023726196426243108,3.902815379747013e-12,0.12633472222222222,0.6844299700299701,0.31209561965811966,0.7055154845154845,-0.3723343503718504,outcome,0.011443961364987426,0.020259707630571933,True,3874,53,298,
Qwen/Qwen2_5-14B,primary,0.2161397056497532,0.006166268334038524,3.6418452209781895e-269,0.012202243589743533,0.005909128334580158,0.038924704366660276,0.13882182598692022,0.005843957240220328,9.80985724414778e-125,-0.027204041791541764,0.008219988192795088,0.0009346313698304416,0.21667564102564102,0.3547506493506493,0.22887788461538464,0.3397488511488511,-0.12587276473526468,outcome,0.0010285917223580858,0.012723555139415385,False,3874,53,298,
Qwen/Qwen2_5-14B,template_absorbed,0.22196505165255487,0.006951350418458694,9.850493771332879e-224,0.012202243589743563,0.005041523780318421,0.015505646757589626,0.1389128235122659,0.004988662674533052,1.2142157182735704e-170,-0.02720404179154176,0.007013092896527429,0.00010487111412356133,0.21667564102564102,0.3547506493506493,0.22887788461538464,0.3397488511488511,-0.12587276473526468,outcome,0.0010414307505800188,0.004858238095571147,True,3874,53,298,
Qwen/Qwen2_5-1_5B-Instruct,primary,0.5991162605830357,0.006043866641803699,0.0,0.012484722222222395,0.006102561071540093,0.0407743943235164,0.18359068662768815,0.006031798992250842,1.7729001629934888e-203,-0.0048159909534911255,0.00848906591862581,0.5704988656650914,0.5967457264957264,0.7802188811188812,0.6092304487179487,0.7878876123876124,-0.17098843240093242,outcome,0.0008879067248038419,0.01618079379995413,True,3874,53,298,
Qwen/Qwen2_5-1_5B-Instruct,template_absorbed,0.6751693186782765,0.006963106024563971,0.0,0.012484722222221589,0.006136227469980737,0.04189189538301933,0.18359168102849246,0.006065187898531008,2.8688009949355157e-201,-0.004815990953490764,0.008535898104695707,0.5726150588280348,0.5967457264957264,0.7802188811188812,0.6092304487179487,0.7878876123876124,-0.17098843240093242,outcome,0.0009059188263834483,0.003678468854372225,True,3874,53,298,
Qwen/Qwen2_5-1_5B,primary,0.2893378580658837,0.0074824266213990576,0.0,5.138888888880557e-05,0.00352097949169892,0.9883552444732093,0.01249852838765729,0.0034904561394390235,0.00034258021125113273,-0.0038094308469307776,0.004897915260947724,0.4367071093813246,0.2914034188034188,0.3002170829170829,0.2914548076923077,0.29645904095904096,-0.008762275224775185,outcome,0.0026095323907997406,0.005783471746923871,True,3874,53,298,
Qwen/Qwen2_5-1_5B,template_absorbed,0.19154167196140356,0.007168620173880334,2.7967674187911796e-157,5.1388888888640086e-05,0.002099064474700316,0.9804682962124387,0.012686591603435632,0.0020816073661756606,1.0970242297765264e-09,-0.003809430846930579,0.002919937463023149,0.1920197037941076,0.2914034188034188,0.3002170829170829,0.2914548076923077,0.29645904095904096,-0.008762275224775185,outcome,0.0023123773251950883,0.0017281615804608515,True,3874,53,298,
Qwen/Qwen2_5-3B-Instruct,primary,0.37671952845690804,0.013548442525199053,3.734856695291573e-170,0.04230106837606856,0.010916625449599367,0.00010665900822984439,0.29433305119268915,0.010805789621703041,2.276860083551554e-163,-0.05397029914529947,0.015185747748233456,0.0003794048068391987,0.3775186965811966,0.6707947052947053,0.419819764957265,0.6591254745254744,-0.25097494033744033,outcome,0.006331875468977602,0.030779600274164008,True,3874,53,298,
